ISP_Name,Time,Text,Coordinates,Place,Source
spectranet,2021-11-27 14:41:14+00:00,RT @iamrenike: The sexual tension between Spectranet modems and window frames...,,,Twitter for Android
spectranet,2021-11-27 13:59:19+00:00,Spectranet or Smile? Which is more reliable?,,,Twitter for iPhone
spectranet,2021-11-27 11:54:37+00:00,"Spectranet, and Glo Dey cook me seriously for here",,,Twitter for iPhone
spectranet,2021-11-27 11:53:48+00:00,"Spectranet offer State-of-the-art dedicated link broadband services to corporates. We provides Maximum redundancy at each stage, including local and international IP connectivity.Visit our website: https://t.co/5hvVUmoyT9
#BestWirelessUnlimitedPlans #CheapestBroadbandInternet",,,Twitter Web App
spectranet,2021-11-27 11:17:04+00:00,@Rhanty - Lmao make I run the PlayStation plus. Spectranet has just been useless,,,Twitter for iPhone
spectranet,2021-11-27 10:31:24+00:00,@mr_guobadia My problem with Spectranet is location. They are not everywhere in Abuja and I need something mobile.,,,Twitter for Android
spectranet,2021-11-27 09:53:58+00:00,@KLAZEMATICS If you’re in Abuja why don’t you just use Spectranet? It’s way cheaper…. MTN is never ideal for heavy data usage,,,Twitter for iPhone
spectranet,2021-11-27 09:28:25+00:00,Which kind rubbish this spectranet dey do? 🤦🏾‍♂️🤦🏾‍♂️🥺,,,Twitter for Android
spectranet,2021-11-27 08:14:30+00:00,Spectranet can never work for you if it's not on a window https://t.co/L8oN6D1Zhn,,,Twitter for Android
spectranet,2021-11-27 06:10:56+00:00,@Spectranet_NG catch your sub https://t.co/xEz01d8pRl,,,Twitter for iPhone
spectranet,2021-11-26 23:31:29+00:00,@MsPuti_ @lolujubril Spectranet dammnnnnn you!!!,,,Twitter for iPhone
spectranet,2021-11-26 23:31:02+00:00,@Damotino_H @lolujubril I tried. It’s spectranet. I think Sandra had the same issue.,,,Twitter for iPhone
spectranet,2021-11-26 23:12:15+00:00,"Not airtel and spectranet frustrating me at the same time 😭😭

At least take turns 😭😭😭",,,Twitter for iPhone
spectranet,2021-11-26 22:03:22+00:00,RT @ichie_mac: I topped up my spectranet account using my Alat card but I was debited and not funded. After an hour of reaching out to both…,,,Twitter for Android
spectranet,2021-11-26 22:03:18+00:00,"RT @ichie_mac: Omo me I am just tired😟😟
So I joined smile network last month and it's been a fair ride except for all the plenty down time…",,,Twitter for Android
spectranet,2021-11-26 21:44:52+00:00,"Help my Life.
I just love my @Spectranet_NG device couple of minutes ago... Can you people help me retrieve.... I take God beg una...

Please retweet guys.....",,,Twitter for Android
spectranet,2021-11-26 20:34:42+00:00,@Naffsy3 @davema36 Spectranet abi Spectacular??? 🙄,,,Twitter for Android
spectranet,2021-11-26 18:59:00+00:00,"So the problem now is that, on the same spot where I usually put my smile mifi and it works just fine even when it has just one signal bar. My spectranet has refused to work there lol.. All I can say is that all the network providers in this country are all jokers.",,,Twitter for Android
spectranet,2021-11-26 18:56:51+00:00,MTN doesn't want me to be great. Time to sub spectranet before wahala happen. I can't keep living like this!!! 😭😭😭,,,Twitter for Android
spectranet,2021-11-26 18:55:28+00:00,"I topped up my spectranet account using my Alat card but I was debited and not funded. After an hour of reaching out to both smile and spectranet, Still nothing! So I decided to use my Sterling card which went through.",,,Twitter for Android
spectranet,2021-11-26 18:52:47+00:00,"Omo me I am just tired😟😟
So I joined smile network last month and it's been a fair ride except for all the plenty down time they had.
So now I picked up my spectranet as per me being tired of Smile network issues,",,,Twitter for Android
spectranet,2021-11-26 17:22:43+00:00,100% data bonus on spectranet 😔,,,Twitter for iPhone
spectranet,2021-11-26 15:55:07+00:00,Spectranet is after my life,,,Twitter for iPhone
spectranet,2021-11-26 11:02:59+00:00,"Why Everyone Loves Big Brother Naija and What Businesses Can Learn 
I was at a Spectranet office in Lagos to get a MiFi for myself some days back. I’m not saying the exact Click URL to read full post https://t.co/tltvDkMJV3 #businessdevelopment https://t.co/C41cMLmEk5",,,Revive Social App
spectranet,2021-11-26 10:47:11+00:00,@timi_iov I’ll send you spectranet,,,Twitter for iPhone
spectranet,2021-11-26 10:00:58+00:00,Please how can I stop Spectranet from spamming my phone with text messages?,,,Twitter for Android
spectranet,2021-11-26 09:57:50+00:00,Spectranet people might think I’m ded.,,,Twitter for iPhone
spectranet,2021-11-13 21:36:57+00:00,"Money wey I take bet today, I suppose use am buy unlimited data for spectranet 😭",,,Twitter for iPhone
spectranet,2021-11-13 21:20:11+00:00,"@Kolokodess @JumiaNGHelp @Spectranet_NG Lol. Sorry. I subscribed some about a week ago, 13,305 naira. I haven't gotten reception in my small modem since then. These people tire me out.",,,Twitter for Android
spectranet,2021-11-13 20:52:32+00:00,@2204mph @JumiaNGHelp @Spectranet_NG That’s what I used but it’s been resolved after multiple follow up and calls smh,,,Twitter for iPhone
spectranet,2021-11-13 20:51:12+00:00,Spectranet modem all of a sudden stopped working. Nowwwww. I’m not sure I can upload my next YT video.,,,Twitter for iPhone
spectranet,2021-11-13 19:56:54+00:00,Spectranet is really moving mad,,,Twitter for Android
spectranet,2021-11-13 19:47:29+00:00,"Can’t believe I’m missing spectranet, I hope their network is good now",,,Twitter for iPhone
spectranet,2021-11-13 18:00:15+00:00,@Kolokodess @JumiaNGHelp @Spectranet_NG Renew from the app directly. There are some fast payment options. I renew directly from the mobile app.,,,Twitter for Android
spectranet,2021-11-13 17:09:07+00:00,@Geomantia Spectranet,,,Twitter for iPhone
spectranet,2021-11-13 15:50:02+00:00,Spectranet be stressing,,,Twitter for Android
spectranet,2021-11-13 15:05:27+00:00,@DONJAZZY been tagging you to support me in getting a system so I begin my tech journey  for monthsss buh too much motifs no allow you see my tweet😒.... gotten one now. Oya please sir comman buy me spectranet sir ☺️☺️😋. God bless you ❤️❤️💯,,,Twitter for iPhone
spectranet,2021-11-13 14:10:43+00:00,Spectranet network can be annoying,,,Twitter for iPhone
spectranet,2021-11-13 12:02:57+00:00,"@Darmiebaby Stupid networks.
My Spectranet has been okay, but head dey touch small small",,,Twitter for Android
spectranet,2021-11-13 11:54:38+00:00,@Darmiebaby Spectranet 😌,,,Twitter for Android
spectranet,2021-11-12 22:25:13+00:00,"RT @yusbakly: Don't be afraid of hiring people with ZERO experience.

We can surprise you with our determination and great work ethic.
@eri…",,,Twitter for Android
spectranet,2021-11-12 22:21:33+00:00,@weird90skid @Spectranet_NG @PlayVALORANT You mean since you played a bad game right?,,,Twitter for Android
spectranet,2021-11-12 22:13:58+00:00,RT @JerrieRotimi: - You guys have been so terrible for days now @Spectranet_NG,,,Twitter for iPhone
spectranet,2021-11-12 21:54:31+00:00,"Don't be afraid of hiring people with ZERO experience.

We can surprise you with our determination and great work ethic.
@ericsson @eStreamNetworks @Spectranet_NG",,,Twitter for Android
spectranet,2021-11-12 21:50:28+00:00,- You guys have been so terrible for days now @Spectranet_NG,,,Twitter for iPhone
spectranet,2021-11-12 21:48:48+00:00,"RT @TolulopeAyeni: 6pm - 7:30pm
https://t.co/NzGa8B6Gmw
https://t.co/xESF7ze00g
30b Opebi Rd, Ikeja (Beside Spectranet).
@ThisGreenChurch",,,Twitter for iPhone
spectranet,2021-11-12 20:57:41+00:00,I left spectranet because the network was shit. After some juicy offers I decided to go back. 2 years later guess what? The network is still shit!,,,Twitter for iPhone
spectranet,2021-11-12 18:17:03+00:00,@Mighty_20 Lol I don't work at Spectranet,,,Twitter for iPhone
spectranet,2021-11-12 16:50:43+00:00,Spectranet users are laughing at this tweet because network wouldn't allow you do anything 🤣 https://t.co/hA8FL4dvY8,,,Twitter for Android
spectranet,2021-11-12 16:15:05+00:00,"The poor guy that just called me from spectranet 😩 ...

I'm sorry no be you do, it's just been a hectic day",,,Twitter for Android
spectranet,2021-11-12 14:49:49+00:00,"Vacancy: Enterprise Sales- Key Account Manager(KAM)
JOB DESCRIPTION: KAM – Spectranet Enterprise Business

Location: Lagos

Job Scope:
Actively maintaining a superior depth of product knowledge in their designated product areas,
including
- Competitive Of…https://t.co/p9suiFYOrO",,,LinkedIn
spectranet,2021-11-12 13:31:40+00:00,"RT @ShrekBursa: První část krabičky na Spectranet je hotová ;) 

#Dnes3DTisknu https://t.co/lbU1cyiedU",,,Twitter Web App
spectranet,2021-11-12 12:54:18+00:00,Spectranet’s fiber whatever they call it is overrated. Na them and Glo suppose dey compete,,,Twitter for iPhone
spectranet,2021-11-12 09:32:55+00:00,"@JumiaNGHelp It’s been over 48hrs of trying to renew my @Spectranet_NG device on your platform, yet payment hasn’t reflected even after getting debited &amp; getting a successful payment receipt from your team! Please look into this",,,Twitter for iPhone
spectranet,2021-11-12 01:23:23+00:00,"RT @georgelamps: Promised to finish my Udemy Python classes this month,only for spectranet to tell me my data was exhausted was heartbreaki…",,,Twitter for iPhone
spectranet,2021-11-12 00:19:37+00:00,"Hey @Spectranet_NG did you guys upgrade or something, been a while since i played a good game of @PlayVALORANT. Good ping, 0 packet loss.🙌",,,Twitter for Android
spectranet,2021-11-11 22:59:34+00:00,Wonder what year Spectranet would start working in Ife 🤨,,,Twitter for iPhone
spectranet,2021-11-11 21:41:18+00:00,@MsPuti_ Lol... Give up! Spectranet has failed you,,,Twitter for Android
spectranet,2021-11-11 21:10:18+00:00,@Ijedinma___ How is the Spectranet network sef,,,Twitter for Android
spectranet,2021-11-11 19:47:18+00:00,"RT @ConvertedCode_1: Spectranet, 12,795 for 45gb.

Wait till sundays when they offer 100% bonus, then you get 90gb, plus free unlimited mid…",,,Twitter for Android
spectranet,2021-11-11 18:46:37+00:00,"Spectranet ehn! What is the essence of even doing unlimited 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️

Useless people",,,Twitter for iPhone
spectranet,2021-11-11 16:59:28+00:00,Useless spectranet says I would have have to wait till month end. Fuck,,,Twitter for Android
spectranet,2021-11-11 15:35:41+00:00,@theshawttynatt Abi ko fe ragba fun Spectranet ni😭😭😭😭,,"Place(_api=<tweepy.api.API object at 0x7f7d615c8510>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f7d615c8510>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
spectranet,2021-11-11 13:52:04+00:00,It really pains me when Spectranet decides to stop working. Especially when I’m in the zone.,,,Twitter for iPhone
spectranet,2021-11-11 13:28:30+00:00,@silversurferng u wey say woman dash u 1m 😒 send spectranet money i wan sub abeg 🙄i dey learn udemy oya oya,,,Twitter for Android
spectranet,2021-11-11 13:18:00+00:00,"Promised to finish my Udemy Python classes this month,only for spectranet to tell me my data was exhausted was heartbreaking...now i have to switch to java learning till i get funds again 🤦🏾‍♂️",,,Twitter for Android
