ISP_Name,Time,Text,Coordinates,Place,Source
tizeti,2019-10-19 23:46:48+00:00,"RT @tizeti: #UnlimitedInternet #UncappedData

Call: 012291000, 09087493040
Email: internet@wifi.com.ng
Web: https://t.co/rfS7AqPhd9 https:/…",,,Twitter for Android
tizeti,2019-10-19 23:23:52+00:00,"@dapo_joel We sincerely apologize for the issues experienced, kindly send a mail to internet@wifi.com.ng or by opening a ticket on https://t.co/ViIVRPrVoZ for a swift resolution.",,,Twitter for iPhone
tizeti,2019-10-19 23:23:42+00:00,"@dapo_joel We sincerely apologize for the issues experienced, kindly send a mail to internet@wifi.com.ng or by opening a ticket on https://t.co/ViIVRPrVoZ for a swift resolution.",,,Twitter for iPhone
tizeti,2019-10-19 23:21:44+00:00,"@izumodebe @tizeti Thank you for your interest in our service, kindly be informed that we do not cover that axis for now, we would inform you once it’s available.",,,Twitter for iPhone
tizeti,2019-10-19 23:21:26+00:00,"@illest_rukboi @tizeti Thank you for your interest in our service, kindly be informed that we do not cover that axis for now, we would inform you once it’s available.",,,Twitter for iPhone
tizeti,2019-10-19 23:21:10+00:00,"@illest_rukboi @tizeti Thank you for your interest in our service, kindly be informed that we do not cover that axis for now, we would inform you once it’s available.",,,Twitter for iPhone
tizeti,2019-10-19 23:13:51+00:00,"@ShopArmstrongNG @tizeti @netflix We sincerely apologize for the issues experienced, kindly send a mail to internet@wifi.com.ng or by opening a ticket on https://t.co/ViIVRPrVoZ for a swift resolution.",,,Twitter for iPhone
tizeti,2019-10-19 23:12:30+00:00,"@danieliuche @tizeti @NgComCommission Sincere apologies for any issue experienced, please DM your Tizeti account details or ticket ID so the complaint can be escalated and resolved accordingly.",,,Twitter for iPhone
tizeti,2019-10-19 22:36:47+00:00,@nuhu_m @tizeti Haha why yu say so,,,Twitter for Android
tizeti,2019-10-19 22:18:31+00:00,@tIZETI_ @Nobsdaslushhkid @Eze_Nwanyii @tizeti Awwwwwww 0044559842 Lengkat Obadiah GTBank,,,Twitter for Android
tizeti,2019-10-19 21:34:24+00:00,@nuhu_m can put the time he has for Tizeti rant to good use. Use it to innovate your own ISP. If you could pay more than N9500 you would not be disturbing the peace of the Twitter world.,,,Twitter for Android
tizeti,2019-10-19 21:22:21+00:00,@Nobsdaslushhkid @CynthiaLengkat @Eze_Nwanyii @tizeti Send your account number. Let me help you career.,,,Twitter for Android
tizeti,2019-10-19 20:49:07+00:00,Not tonight tizeti 😩,,,Twitter for iPhone
tizeti,2019-10-19 20:36:20+00:00,"Not tonight, tizeti 😩😩",,"Place(_api=<tweepy.api.API object at 0x7fbc025ca520>, id='01eddd9d0dbec2c8', url='https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', place_type='city', name='Ikeja', full_name='Ikeja, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fbc025ca520>, type='Polygon', coordinates=[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]), attributes={})",Twitter for iPhone
tizeti,2019-10-19 20:09:18+00:00,"#UnlimitedInternet #UncappedData

Call: 012291000, 09087493040
Email: internet@wifi.com.ng
Web: https://t.co/rfS7AqPhd9 https://t.co/JQt5o5loWp",,,TweetDeck
tizeti,2019-10-19 19:51:50+00:00,@tizeti It has been #unlimited #internet disruption for the last 2 months that I have been using #tizeti #unreliable service.,,,Twitter for Android
tizeti,2019-10-19 19:48:03+00:00,@tizeti Tizeti customer support service has been really bad also. Tizeti is running a fraudulent SCAM... Tizeti should not take money from customers without rendering proper service. @fccpcnigeria @NgComCommission,,,Twitter for Android
tizeti,2019-10-19 19:37:04+00:00,"@tizeti Here is a customer testimonial for you..... Your #internet service has been really bad. This is my 2nd month and I have not been able to use it. In my first month, engineers visited in the 1st and 2nd week, the engineer scheduled to visit in the 3rd week did not show up...",,,Twitter for Android
tizeti,2019-10-19 19:32:53+00:00,RT @aroandycs: @tizeti You guys are the biggest SCAM of the century. How can one subscribe with almost 20k for a month and not enjoy your s…,,,Twitter for Android
tizeti,2019-10-19 19:32:17+00:00,@aroandycs @tizeti SCAM #unlimited #unreliable CRAP #internet #tizeti #wifi #tizetIsScam #boycotTizeti,,,Twitter for Android
tizeti,2019-10-19 19:26:40+00:00,"@endowcco @tizeti Look well well o, ask well well o, no enter one chance o... Toh!!!",,,Twitter for Android
tizeti,2019-10-19 19:18:46+00:00,"@88factor Guy I was off twitter yesterday and didn’t see this. I should have hit you up even, based on your wifi usage experience, lol. I BOUGHT https://t.co/A2AVHl9COu YESTERDAY!!!! 🙆🏿‍♂️",,,Twitter for iPhone
tizeti,2019-10-19 19:15:55+00:00,"@SWIFT4Glte @ToluOrekoya @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG I don't even understand what this means. Can you explain?

Your engineers upgraded the firmware for my mifi. Said it's okay. You have mentioned fixing the current network issue, but here you also are talking about a new mifi, as IF I ever complained about my mifi being the issue",,,Twitter for Android
tizeti,2019-10-19 19:08:08+00:00,Same way I will avoid @tizeti my connection has been down for 26 days now and no one has taken it upon himself or herself to get me back. I'm beginning to feel duped. The worst part is they dont have a physical address. @NgComCommission I wonder the criteria for such companies https://t.co/sYnf8Rk63r,,,Twitter for Android
tizeti,2019-10-19 17:54:49+00:00,"RT @tizeti: Upgrade your business with solutions that work.
Tizeti Enterprise Solutions.....The Future.

Call: 012291000
Email: internet@wi…",,,Twitter for Android
tizeti,2019-10-19 17:37:27+00:00,@tizeti is your services available to Onitsha residents?,,,Twitter Web App
tizeti,2019-10-19 17:36:08+00:00,@NikeAde_O @tizeti We appreciate your feedback.,,,Twitter for iPhone
tizeti,2019-10-19 17:33:30+00:00,"@wifisupport1 @tizeti Finally. We are back online. Thank you, I'm praying to never have to go through this again",,,Twitter for Android
tizeti,2019-10-19 17:25:57+00:00,@s_moj @ToluOrekoya @SWIFT4Glte @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG Yes..i can attest to this..,,,Twitter for Android
tizeti,2019-10-19 17:18:33+00:00,@tizeti Can I get your connectivity in Jos,,,Twitter for Android
tizeti,2019-10-19 17:15:04+00:00,Do you guys have network in Jos @tizeti,,,Twitter for Android
tizeti,2019-10-19 17:02:42+00:00,@Eze_Nwanyii Tizeti can do this to anyone,,,Twitter for iPhone
tizeti,2019-10-19 16:48:59+00:00,@s_moj @SWIFT4Glte @ToluOrekoya @tdontop @tizeti @ntelng @Spectranet_NG Oh Boy.,,,Twitter Web App
tizeti,2019-10-19 16:48:56+00:00,"@SWIFT4Glte @ToluOrekoya @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG The second I find a better alternative from somewhere else, he gets part or all of my 20,500 every month.",,,Twitter for Android
tizeti,2019-10-19 16:47:29+00:00,"@SWIFT4Glte @ToluOrekoya @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG So no. Your actions have shown I don't have any confidence you're even remotely interested in resolving the situation.

I have repeatedly stated that I need a mobile internet service plan (not fixed installation) with unlimited data consumption. Hence what I'm using with you guys",,,Twitter for Android
tizeti,2019-10-19 16:43:12+00:00,"@SWIFT4Glte @ToluOrekoya @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG And to add salt to injury, the base station is a STONE THROW away from my office.

After querying the technician, he then said the base station was 'congested' before offering me an alternative plan. As if by changing from the unlimited I won't connect to the SAME base station",,,Twitter for Android
tizeti,2019-10-19 16:40:26+00:00,"@SWIFT4Glte @ToluOrekoya @tdontop @jamesagada @tizeti @ntelng @Spectranet_NG How about you actually delivering proper service without me having to call more than once a week?

Your technicians have personally inspected my device on two occasions. One had the gall to recommend a data capped plan away from the unlimited, the other gave a false report.",,,Twitter for Android
tizeti,2019-10-19 16:38:38+00:00,"@tizeti @netflix Phone numbers are just there to waste customers airtime.

You don’t take calls.",,"Place(_api=<tweepy.api.API object at 0x7fbc025ca520>, id='01eddd9d0dbec2c8', url='https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', place_type='city', name='Ikeja', full_name='Ikeja, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fbc025ca520>, type='Polygon', coordinates=[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]), attributes={})",Twitter for iPhone
tizeti,2019-10-19 16:22:56+00:00,"@NikeAde_O @tizeti Sincere apologies for the issues experienced, a member of our team would reach out to you now.",,,Twitter for iPhone
tizeti,2019-10-19 16:22:46+00:00,"@NikeAde_O @tizeti Sincere apologies for the issues experienced, a member of our team would reach out to you now.",,,Twitter for iPhone
tizeti,2019-10-19 16:18:11+00:00,@wifisupport1 @tizeti Today my husband and I spent 30mins on hold only to be cut off.... I am still waiting for this swift resolution,,,Twitter for Android
tizeti,2019-10-19 16:16:22+00:00,@wifisupport1 @tizeti I am still waiting for this resolution. It is 5pm. I still don't have internet access. 1month and counting,,,Twitter for Android
tizeti,2019-10-19 15:53:32+00:00,@dre81us come and see you tizeti. https://t.co/jnNryziZ06,,,Twitter for Android
tizeti,2019-10-19 15:46:45+00:00,"@juvilplus @tizeti We sincerely apologize for any issue experienced, your issue has been escalated for a swift resolution.",,,Twitter for iPhone
tizeti,2019-10-19 15:11:45+00:00,@Nobsdaslushhkid @Eze_Nwanyii @tizeti 😭😭😭😭😭,,,Twitter for Android
tizeti,2019-10-19 15:10:37+00:00,@CynthiaLengkat @Eze_Nwanyii @tizeti I need 3k to complete my 2 to 5k,,,Twitter for iPhone
tizeti,2019-10-19 14:58:35+00:00,"@wifisupport1 @tizeti experiencing down time again. Third one this week, over 3 hrs now. I didn’t wanna report but I have been using my phones data since. Kilode",,,Twitter for iPhone
