text,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
"50GB gone in one week, @Spectranet_NG na so? I am just tired.",1125,Negative,koredeakande@uni.minerva.edu,661,2021-10-28T13:15:28.998694Z,2021-10-28T13:15:28.998724Z,3.864
"@TheFunkyDee @Spectranet_NG I’m giving 
@Spectranet_NG
 a second thoughts with this, I’m this thinking of switching from Smile to 
@Spectranet_NG
 and this doesn’t looks good. What would you advise me to do?",1122,Negative,koredeakande@uni.minerva.edu,658,2021-10-28T13:15:10.405765Z,2021-10-28T13:15:10.405796Z,14.504
@Spectranet_NG @FritztheJanitor Will they help me attend to other issues as well?,1121,Neutral,koredeakande@uni.minerva.edu,657,2021-10-28T13:14:55.664030Z,2021-10-28T13:14:55.664062Z,6.356
"From 30th May to date
MTN mifi - 10k
Spectranet - 10,250
Smile - 24,000
MTN mobile data - roughly 5-7k

Both MTN (14k) and Smile mifi(14,500) were bought within the last one month.
Spectranet deceived me 😢

ISPs have frustrated me https://t.co/Ef15VJUZU2",1120,Negative,koredeakande@uni.minerva.edu,656,2021-10-28T13:14:49.051771Z,2021-10-28T13:14:49.051805Z,10.678
Spectranet unlimited. Value for money https://t.co/GPDtuSnelE,1119,Positive,koredeakande@uni.minerva.edu,655,2021-10-28T13:14:38.115677Z,2021-10-28T13:14:38.115708Z,27.298
@TejuAdeyinka @Spectranet_NG I'm going to thier office today cos I can't be downloading at 40kb per second,1118,Negative,koredeakande@uni.minerva.edu,654,2021-10-28T13:14:10.546988Z,2021-10-28T13:14:10.547021Z,86.831
Is spectranet having network issues?,1117,Neutral,koredeakande@uni.minerva.edu,653,2021-10-28T13:12:43.483945Z,2021-10-28T13:12:43.483975Z,3.42
Spectranet giving me more reasons why I shouldn't renew my subscription this month 😑,1116,Negative,koredeakande@uni.minerva.edu,652,2021-10-28T13:12:39.827009Z,2021-10-28T13:12:39.827041Z,4.623
"@wifisupport1 @tizeti I should create a ticket again, I called customer service. They said it would be looked into. Still not working.",1113,Negative,koredeakande@uni.minerva.edu,649,2021-10-28T13:11:59.093006Z,2021-10-28T13:11:59.093037Z,12.269
@theshalvah My Tizeti has been awesome since I got back https://t.co/EFePUl6bnL,1112,Positive,koredeakande@uni.minerva.edu,648,2021-10-28T13:11:46.579690Z,2021-10-28T13:11:46.579721Z,4.21
"Spectranet subscriptions is the reason I don't own a car yet!

😔😔😔",1111,Neutral,koredeakande@uni.minerva.edu,647,2021-10-28T13:11:42.132197Z,2021-10-28T13:11:42.132229Z,9.857
"@tizeti Tizeti is not a good ISP 
I've been experiencing this for almost 48 hours and it still continues https://t.co/JJLUh6GJ5w",1110,Negative,koredeakande@uni.minerva.edu,646,2021-10-28T13:11:32.036560Z,2021-10-28T13:11:32.036594Z,4.929
@KhadijatTinuke Spectranet,1109,Neutral,koredeakande@uni.minerva.edu,645,2021-10-28T13:11:26.860755Z,2021-10-28T13:11:26.860786Z,3.531
@tizeti 997122 is the ticket number. Internet has been down since yesterday and you guys kept lying that the issue is fixed. I’m frustrated and tired of your style. I have to battle with epileptic service every other day. If you guys are not ready. Just pack it up and go 🤦‍♂️🤦‍♂️🤦‍♂️,1108,Negative,koredeakande@uni.minerva.edu,644,2021-10-28T13:11:23.086411Z,2021-10-28T13:11:23.086447Z,7.325
Spectranet and their stupid network.. Mtcheew,1107,Negative,koredeakande@uni.minerva.edu,643,2021-10-28T13:11:15.450301Z,2021-10-28T13:11:15.450342Z,3.855
Spectranet would not allow me to be great 😕,1105,Negative,koredeakande@uni.minerva.edu,641,2021-10-28T13:11:02.343527Z,2021-10-28T13:11:02.343560Z,3.818
@funmiistic @tizeti Internet service provider.,1104,Neutral,koredeakande@uni.minerva.edu,640,2021-10-28T13:10:58.295993Z,2021-10-28T13:10:58.296025Z,4.067
@Spectranet_NG is today double data please 😊,1103,Neutral,koredeakande@uni.minerva.edu,639,2021-10-28T13:10:53.975402Z,2021-10-28T13:10:53.975439Z,5.146
@realdanielemeka Spectranet,1102,Neutral,koredeakande@uni.minerva.edu,638,2021-10-28T13:10:48.645075Z,2021-10-28T13:10:48.645106Z,3.121
"@Spectranet_NG 

I would like to switch to your services.
Is it possible to purchase just a SIM Card from your outlets. I have too many unused modems sitting around.",1101,Neutral,koredeakande@uni.minerva.edu,637,2021-10-28T13:10:45.265203Z,2021-10-28T13:10:45.265235Z,12.034
@confyscenty @officialbambam4 @Spectranet_NG Leemao. I actually bought an Ntel SIM o. Used them for 2 days and dumped them.. They're not different from Spectranet,1100,Negative,koredeakande@uni.minerva.edu,636,2021-10-28T13:10:32.970711Z,2021-10-28T13:10:32.970759Z,17.46
"@Spectranet_NG please don’t let us be unfortunate this afternoon, I have plenty work to do and your internet is not even working. Location is Yaba.

Let’s be guided please, thanks!",1099,Negative,koredeakande@uni.minerva.edu,635,2021-10-28T13:10:15.260137Z,2021-10-28T13:10:15.260168Z,7.592
@__nasarr I Dey reason activate my Spectranet coz 15gb on Airtel barely last me more than a week 🤷‍♂️,1096,Neutral,koredeakande@uni.minerva.edu,632,2021-10-28T13:09:51.795550Z,2021-10-28T13:09:51.795583Z,8.071
"@Deejay_Klem @SmileComsNG Well this means I will stick with @Spectranet_NG . Sigh, the devil you know.",1095,Negative,koredeakande@uni.minerva.edu,631,2021-10-28T13:09:43.474430Z,2021-10-28T13:09:43.474461Z,10.118
"@ycombinator @kananyi @socialcapital @mwseibel @ACE_company 

Only @Tizeti https://t.co/lqJDcYhnOI offers A 4G internet service that cannot even load WhatsApp status. There’s not one single thing this telecom service provides but mediocrity. Top notch mediocrity",1094,Negative,koredeakande@uni.minerva.edu,630,2021-10-28T13:09:33.115279Z,2021-10-28T13:09:33.115315Z,12.498
"@KhidKhordi That website be acting like an amber alert though. Like a sign of things to come.
At least tizeti get fine UI",1093,Positive,koredeakande@uni.minerva.edu,629,2021-10-28T13:09:20.327529Z,2021-10-28T13:09:20.327583Z,17.676
@JamesLantern2 Spectranet?,1090,Neutral,koredeakande@uni.minerva.edu,626,2021-10-28T13:08:42.244755Z,2021-10-28T13:08:42.244792Z,3.068
"Double data recharge on Spectranet. Get double the amount for today recharge only...

#truth761x @ Lagos, Nigeria https://t.co/pQILhhvMoh",1089,Neutral,koredeakande@uni.minerva.edu,625,2021-10-28T13:08:38.895376Z,2021-10-28T13:08:38.895407Z,6.754
Is there any Internet Service Provider in Nigeria that offers Unlimited data for a month with NO CAP ? Asides Tizeti please,1088,Negative,koredeakande@uni.minerva.edu,624,2021-10-28T13:08:31.873530Z,2021-10-28T13:08:31.873567Z,8.44
@wifisupport1 @tizeti how far???,1087,Neutral,koredeakande@uni.minerva.edu,623,2021-10-28T13:08:23.053657Z,2021-10-28T13:08:23.053700Z,2945.101
"@ajepintos Lol. I give up fam. 

Tizeti is useless",1086,Negative,koredeakande@uni.minerva.edu,622,2021-10-28T12:19:17.619764Z,2021-10-28T12:19:17.619796Z,4.13
@Spectranet_NG wiped out 15GB of data in 2days on a line associated with a POS Device that has an average daily traffic of about 30mb. I have asked for concrete details of what happened from the 29th till today before taking further action.  @NgComCommission,1084,Negative,koredeakande@uni.minerva.edu,620,2021-10-28T12:19:09.418117Z,2021-10-28T12:19:09.418154Z,11.583
"@Benjamin_Alamu @SWIFT4Glte @ntelng Surprisingly @wifi.com.ng is very good where I stay 

No issues whatsoever",1083,Positive,koredeakande@uni.minerva.edu,619,2021-10-28T12:18:57.573156Z,2021-10-28T12:18:57.573209Z,5.667
What is that link that use in checking internet speed abeg?? I need to send this nonsense to @Spectranet_NG,1082,Negative,koredeakande@uni.minerva.edu,618,2021-10-28T12:18:51.565917Z,2021-10-28T12:18:51.565945Z,100.212
@bashirobasekola @tizeti @wifisupport1 Thanks Uncle. How are you doing Sir?,1080,Neutral,koredeakande@uni.minerva.edu,616,2021-10-28T12:16:58.862701Z,2021-10-28T12:16:58.862733Z,10.233
@Spectranet_NG Had to switch to my mobile network to send this tweet.,1079,Negative,koredeakande@uni.minerva.edu,615,2021-10-28T12:16:48.395100Z,2021-10-28T12:16:48.395132Z,4.663
Tizeti have decided not to come install my internet @tizeti,1077,Negative,koredeakande@uni.minerva.edu,613,2021-10-28T12:16:37.605345Z,2021-10-28T12:16:37.605379Z,6.056
"@wifisupport1 @tizeti 
Now am enjoying what I paid for. Kudos 

#EndSARS",1076,Positive,koredeakande@uni.minerva.edu,612,2021-10-28T12:16:31.308657Z,2021-10-28T12:16:31.308690Z,9.605
@Officialkome_ @Spectranet_NG This people don frustrate me finish kai. I’m tired,1075,Negative,koredeakande@uni.minerva.edu,611,2021-10-28T12:16:21.023587Z,2021-10-28T12:16:21.023618Z,5.357
@Techpointdotng @TheEnike @tizeti Smoooth,1074,Neutral,koredeakande@uni.minerva.edu,610,2021-10-28T12:16:15.412342Z,2021-10-28T12:16:15.412374Z,8.906
"Have netflix, have wifi but still bored because tizeti is running at 23kbps so I cant watch nothing. I'm frustrated o",1073,Negative,koredeakande@uni.minerva.edu,609,2021-10-28T12:16:06.237818Z,2021-10-28T12:16:06.237868Z,6.115
"@dynmsy @wifisupport1 @tizeti @fccpcnigeria This is their new style, they used to be good with emails. Now they are pathetic. My subscription expires today, the last of my money they’ll have.",1071,Negative,koredeakande@uni.minerva.edu,607,2021-10-28T12:15:41.972325Z,2021-10-28T12:15:41.972355Z,15.43
Me waiting out Spectranet to offer double data before I subscribe https://t.co/IGRw6Ch8f7,1070,Neutral,koredeakande@uni.minerva.edu,606,2021-10-28T12:05:41.960894Z,2021-10-28T12:05:41.960923Z,275.833
@myaccessbank Hello Please I can't seem to find the Spectranet option on the #AccessMore application.,1069,Neutral,koredeakande@uni.minerva.edu,605,2021-10-28T12:01:05.736504Z,2021-10-28T12:01:05.736549Z,4.7
@Omo_West12 @Spectranet_NG I don help you tell @Spectranet_NG na,1068,Neutral,koredeakande@uni.minerva.edu,604,2021-10-28T12:01:00.791970Z,2021-10-28T12:01:00.792002Z,12.586
"MTN , Spectranet you guys need deliverance! 🤦🏽‍♀️",1067,Negative,koredeakande@uni.minerva.edu,603,2021-10-28T12:00:47.967232Z,2021-10-28T12:00:47.967265Z,9.442
