ISP_Name,Time,Text,Source
sprectranet,2019-05-13 09:30:03,It gives me joy seeing my spectranet turning green and I get stream as I want  with no buffering 💃💃 https://t.co/REgnfqLHgY,Twitter for iPhone
sprectranet,2020-04-21 06:11:55+00:00,@Spectranet_NG is this even fair? I won’t renew next month and you people should not even bother calling me. I will curse you!,Twitter for iPhone
sprectranet,2020-02-04 18:30:35+00:00,My family used my spectranet and they don't want to help my ministry now it has finished. @Spectranet_NG abeg how will I change my password.,Twitter for Android
sprectranet,2019-02-16 18:11:48,@Spectranet_NG Can I subscribe via @UBAGroup mobile app and get the 100% bonus?,Twitter for Android
sprectranet,2020-08-14 06:25:29+00:00,@EniolaShitta YouTube is where spectranet starts to smile cos data will disappear fast fast 😭😭,Twitter for Android
sprectranet,2019-01-06 10:50:04,"@OluwadamilolaOG @Spectranet_NG My second device , the big one .",Twitter for iPhone
sprectranet,2019-06-19 04:59:49,@Spectranet_NG How can I get the freedom mifi in Ajah today https://t.co/CWet1AR3Vd,Twitter for iPhone
sprectranet,2020-03-25 05:04:18+00:00,"@MTNNG @GlobacomNigeria @GloWorld @AirtelNigeria @Etisalat_Care @Spectranet_NG can we please get a 50% cut off price on data?

It’s a crucial time now. We need a pay cut. #weneeddatapaycut #paycutdata @segalink @Gidi_Traffic @TosinOlugbenga @Omojuwa @DrJoeAbah @seunkuti @HouseNGR",Twitter for iPhone
tizeti,2020-06-18 11:49:15+00:00,@sniperajix @NejeebBello @itytipster @ToksDuttie @tizeti @NgComCommission @lasgcopa @fccpcnigeria @TundeIrukera @Feranmisoye @kazebleek @gbengaosowe Actually for over 15 years via the mother company KKONTech,Twitter for Android
sprectranet,2020-10-20 08:36:06+00:00,If Spectranet wants to be shit like this eh they go all the way. Fix up your horrible network @Spectranet_NG,Twitter for iPhone
sprectranet,2020-03-30 07:57:38+00:00,@DrOlufunmilayo @iconic_remi @Spectranet_NG,Twitter for iPhone
tizeti,2020-07-08 05:37:08+00:00,@igalaman @tizeti No one. And they will still collect full money,Twitter for Android
sprectranet,2019-05-18 17:41:49,"SPECTRANET!!!!!SPECTRANET!!!
BUY EVO MIFI @ 20000 AND GET
40GB WITH FREE 60GB ON RENEWAL AND FREE UNLIMITED NIGHT… https://t.co/Sy1qZLl5ua",Twitter for Android
tizeti,2019-08-26 18:00:40+00:00,@goo_geh 😂😂 @tizeti  they provide good and affordable data service.,Twitter for Android
sprectranet,2019-12-27 06:04:41,@EzraelAni @Spectranet_NG They got different types....you can check their website or any of their store close to you😊😊,Twitter for Android
sprectranet,2019-08-04 18:47:24,@DesolaSugar Spectranet?,Twitter for Android
tizeti,2019-07-28 22:13:53+00:00,TIZETI PLEASE,Twitter for iPhone
tizeti,2020-04-04 21:28:37+00:00,"Look at my @tizeti speed, do you think I’m bothered about that 5G talk? https://t.co/d760OWS9up",Twitter for iPhone
tizeti,2020-04-19 10:03:41+00:00,"Please who is using https://t.co/LfA6GHacrA i need to know how reliable it is, tired of all this networks",Twitter for Android
sprectranet,2020-12-31 21:07:52+00:00,"@Spectranet_NG Your response just proves how horrid your customer service is. Rather than ask what my issue is to help resolve, you render an apology. Apology accepted!. Now can you actually proffer solution? I am really disappointed with your services and attitude to customers",Twitter for Android
sprectranet,2020-09-03 23:09:09+00:00,"Spectranet is just the worse tbh, I can’t even watch a 5min video without serious lagging😫😫😫🤦🏽‍♂️",Twitter for iPhone
sprectranet,2020-07-24 17:26:13+00:00,"@DJaySEAN @Spectranet_NG I switched to @AirtelNigeria.

@Spectranet_NG come and see how you continue to let people down.",Twitter for Android
tizeti,2019-10-31 08:34:10+00:00,@wifisupport1 @tizeti Our internet is still not working since yesterday... I have been trying to send mails but it bounces back https://t.co/NbCKnN2xCq,Twitter for Android
sprectranet,2020-07-22 09:57:34+00:00,"too many tall buildings in my area 🙄🙄. What got me angry was the last complaints I made, they responded saying there was nothing they could do about the network. So in June I finally decided to dump Spectranet for another network and I've been having a far better experience.",Twitter for Android
sprectranet,2019-01-13 15:57:15,@Spectranet_NG #dontusespectranet Incredibly poor network coverage and connectivity coupled with swift cellular data drain and extremely rude customer service representatives earn this cruel joke of a network a subzero rating. I definitely wouldn't recommend this excuse for a network to anyone. Probably is the product of professional scammers determined to separate people from their hard-earned cash.,Twitter for Android
sprectranet,2019-11-14 20:26:38,@Rhenikhe @SmileComsNG @Spectranet_NG,Twitter for iPhone
sprectranet,2019-01-09 21:13:45,@ola_akodu Na to just go subscribe for swift or spectranet because this Netflix will ruin us and our data soon 😂,Twitter for iPhone
sprectranet,2019-02-24 19:48:48,"@Spectranet_NG in Ikoyi, you people have started again 🙄🙄",Twitter for iPhone
sprectranet,2020-03-31 10:51:41+00:00,"Work from home, work from home but @Spectranet_NG has decided to be unfortunate. I can’t even attached a simple document 🤦‍♂️! 

Bloody hell!",Twitter for iPhone
tizeti,2020-04-14 21:37:27+00:00,"@buddah24 @AdebayOrisirisi @wifisupport1 @tizeti You know people in abusive relationship always hope that tomorrow will be better but when tomorrow comes, the story will still be the same... So, he will still be with his lovely network tomorrow and tweet at them.",Twitter for Android
sprectranet,2020-11-06 00:26:13+00:00,@Spectranet_NG  isn't a worthy company anylonger.,Twitter for Android
sprectranet,2020-08-05 14:09:13+00:00,"@Spectranet_NG 

It’s a disgusting customer service Festac  branch.

Was directed to Mr Samuel to attend to me but he chooses to go eat and host while I wait for 23 mins and counting. Haven’t even been told how long I will wait.

Internal customer service poor let alone external",Twitter for iPhone
sprectranet,2020-02-13 16:41:58+00:00,@TheRealMusty @ToolzO @Spectranet_NG Baba today is double data.,Twitter for Android
sprectranet,2019-09-06 16:21:10,Nothing as frustrating as terrible network and Spectranet is taking the piss right now,Twitter for iPhone
sprectranet,2019-12-05 09:46:07,"All ISPs should just do unlimited Internet at 10k per month
@GloCare @MTNNG @AirtelNigeria @Spectranet_NG @Swiftng are you ready?",Twitter for Android
tizeti,2020-08-21 23:19:34+00:00,"@tizeti, @wifisupport1 You guys have pushed me to the wall!! Tired of your nonsense!! https://t.co/TdZOiLbfv6",Twitter for Android
sprectranet,2020-06-16 19:01:41+00:00,Spectranet needs to investigated .  I need to raise a petition,Twitter for iPhone
sprectranet,2020-03-29 18:34:55+00:00,"@adarpt37 @hismyel @tobiomoty @DaddyHassler @FIFAeWorldCup @Spectranet_NG There's a process , we need to be part of that process",Twitter for Android
sprectranet,2019-12-30 16:15:55,"@Babymariam01 @Spectranet_NG Ahan, now now",Twitter for Android
