ISP_Name,Time,Text,Source,sentiment
sprectranet,2020-02-04 18:30:35+00:00,My family used my spectranet and they don't want to help my ministry now it has finished. @Spectranet_NG abeg how will I change my password.,Twitter for Android,Neutral
sprectranet,2019-06-19 04:59:49,@Spectranet_NG How can I get the freedom mifi in Ajah today https://t.co/CWet1AR3Vd,Twitter for iPhone,Neutral
sprectranet,2020-03-30 07:57:38+00:00,@DrOlufunmilayo @iconic_remi @Spectranet_NG,Twitter for iPhone,Neutral
sprectranet,2020-12-31 21:07:52+00:00,"@Spectranet_NG Your response just proves how horrid your customer service is. Rather than ask what my issue is to help resolve, you render an apology. Apology accepted!. Now can you actually proffer solution? I am really disappointed with your services and attitude to customers",Twitter for Android,Negative
sprectranet,2020-09-03 23:09:09+00:00,"Spectranet is just the worse tbh, I can’t even watch a 5min video without serious lagging😫😫😫🤦🏽‍♂️",Twitter for iPhone,Negative
sprectranet,2019-01-13 15:57:15,@Spectranet_NG #dontusespectranet Incredibly poor network coverage and connectivity coupled with swift cellular data drain and extremely rude customer service representatives earn this cruel joke of a network a subzero rating. I definitely wouldn't recommend this excuse for a network to anyone. Probably is the product of professional scammers determined to separate people from their hard-earned cash.,Twitter for Android,Negative
tizeti,2020-04-14 21:37:27+00:00,"@buddah24 @AdebayOrisirisi @wifisupport1 @tizeti You know people in abusive relationship always hope that tomorrow will be better but when tomorrow comes, the story will still be the same... So, he will still be with his lovely network tomorrow and tweet at them.",Twitter for Android,Negative
sprectranet,2020-11-06 00:26:13+00:00,@Spectranet_NG  isn't a worthy company anylonger.,Twitter for Android,Negative
sprectranet,2020-08-05 14:09:13+00:00,"@Spectranet_NG 

It’s a disgusting customer service Festac  branch.

Was directed to Mr Samuel to attend to me but he chooses to go eat and host while I wait for 23 mins and counting. Haven’t even been told how long I will wait.

Internal customer service poor let alone external",Twitter for iPhone,Negative
sprectranet,2020-02-13 16:41:58+00:00,@TheRealMusty @ToolzO @Spectranet_NG Baba today is double data.,Twitter for Android,Neutral
sprectranet,2019-09-06 16:21:10,Nothing as frustrating as terrible network and Spectranet is taking the piss right now,Twitter for iPhone,Negative
sprectranet,2020-03-29 18:34:55+00:00,"@adarpt37 @hismyel @tobiomoty @DaddyHassler @FIFAeWorldCup @Spectranet_NG There's a process , we need to be part of that process",Twitter for Android,Neutral
tizeti,2019-12-07 22:02:21+00:00,Airtel and Tizeti have failed me #AJRuiz2 #AnthonyJoshua,Twitter for Android,Negative
sprectranet,2020-09-01 21:23:18+00:00,@shawttynatt Even Glo and Airtel. If not for Spectranet that is doing the rescue.,Twitter for Android,Positive
tizeti,2020-06-03 22:47:08+00:00,Cant even get internet to do my work 🤡🤡🤡🤡👿 @tizeti,Twitter for Android,Negative
sprectranet,2019-03-25 19:18:05,@DigitalTrends @Spectranet_NG how far? are we going to get this in Nigeria?,Twitter for Android,Neutral
sprectranet,2020-10-01 10:20:09+00:00,"Looking at my payslip and seeing how much my employer pays for my tax really get to me, like I don't benefit this amount you're paying.
This amount with 2k addition could make a sub on @Spectranet_NG for a month
I'm been abused and maltreated by this country to be paying such tax",Twitter for Android,Neutral
sprectranet,2020-09-11 10:25:24+00:00,"@Ziniiex @Spectranet_NG Hi zinnie, give me ur user Id, I’ll send it to my former colleagues there to help u suspend the account or better still send an email to care@spectranet.com.ng highlighting ur user ID on the subject , request for immediate suspension of account. Cheers",Twitter for iPhone,Neutral
sprectranet,2019-05-20 12:22:17,@Spectranet_NG hwfa? Why so slow???,Twitter for Android,Negative
tizeti,2020-03-12 06:58:52+00:00,@wifisupport1 @TweetMrSly1 @tizeti #fucktizeti,Twitter for Android,Negative
sprectranet,2020-04-04 02:37:31+00:00,Day or Night @Spectranet_NG remain useless 🤦🏽‍♂️,Twitter for iPhone,Negative
sprectranet,2020-04-04 13:55:27+00:00,"I have been trying to do an upload since!!
Mtn and Spectranet please na!!",Twitter for iPhone,Negative
sprectranet,2020-03-27 09:02:59+00:00,"@dre81us Wow, sorry about this.
Spectranet works great for my building.
I have my Airtel line loaded as backup but I haven't had to use it yet",Twitter for Android,Positive
sprectranet,2019-08-20 17:17:21,@Clan_Clueless Ah was asking about them online yesterday before paying this stupid Spectranet. How far? Are they any good bro?,Twitter for iPhone,Negative
sprectranet,2019-09-15 06:34:06,"Ahhh, @Spectranet_NG gave me free birthday data! Turn uppp! 💃🏾💃🏾",Twitter for Android,Positive
sprectranet,2019-12-26 21:59:56,Mtewww.....this was my predicament before I bought @Spectranet_NG jeje! https://t.co/v1KFO4Wy6G,Twitter for Android,Positive
tizeti,2020-01-28 08:03:45+00:00,@mrtoluabiodun @tizeti 😭😭😭,Twitter for iPhone,Neutral
tizeti,2020-03-12 23:35:36+00:00,"@rabbi_oceans @isnotpolitics @tizeti Bros, I no wan talk this morning.",Twitter for Android,Neutral
sprectranet,2020-05-03 07:16:02+00:00,@DeGentleman_ Come to spectranet 😌😌,Twitter for iPhone,Positive
tizeti,2019-11-13 10:48:45+00:00,@sunday104 @tizeti @wifisupport1 @NgComCommission @CACCOT1 @BabajideOtitoju @segalink The other guy is collating history of failure. I just decided not to engage gim again when they are done. I am expecting call for next service subscription. Failure and sorry people.,Twitter for Android,Neutral
sprectranet,2020-12-02 15:26:51+00:00,Let me just transfer money for my next subscription to my Spectranet purse before story will enter...,Twitter for iPhone,Neutral
sprectranet,2020-09-01 06:58:51+00:00,Spectranet no dey fear God.,Twitter for iPhone,Negative
sprectranet,2019-05-02 03:30:18,"@EneSoulfood Depend on the kind of mifi
Smile is 9800
Spectranet is like 15k",Twitter for Android,Neutral
sprectranet,2020-04-11 09:21:42+00:00,My spectranet data don finish. Like how 😭😭😭. Changing my password,Twitter for iPhone,Neutral
sprectranet,2020-05-05 22:54:46+00:00,Spectranet is shit,Twitter for iPhone,Negative
sprectranet,2019-04-20 17:32:49,"@TheFJAY_ Sigh
What's better
I just renewed abeg
Spectranet has been shit since January",Twitter for Android,Negative
sprectranet,2019-07-11 12:33:10,"@Mr_pePRO Nothing oh i miss spectranet noni.

I'm a platinum member and my sim just dey waste for house",Twitter for Android,Positive
sprectranet,2020-11-25 21:59:56+00:00,I need vip72 and Spectranet subscription.,Twitter for Android,Neutral
sprectranet,2020-04-28 21:46:06+00:00,"@kunleeko @drdammie @Gidi_Traffic @PlentyGadgets @DrJoeAbah @Omojuwa Bros, pls which part of Lagos do u live?

Spectranet showed me pepper which i endured for 1yr even tho I'd been a loyal customer for over 5yrs. Yet they showed wifey &amp; i nonsense. 

Switched to FibreOne last Oct.2 &amp; now i watch YouTube w/out buffer.

Pls consider them instead.",Twitter for Android,Negative
tizeti,2019-02-07 22:37:18+00:00,"@wifisupport1 @tizeti 
I had made some complaints here some days back. So after the technical team fixed my issue.bthis is the current speed at off peak period. And to think I just stupidly renewed subscription today is pathetic. I can't tolerate this speed for 30days",Twitter for Android,Negative
ipnx,2020-11-20 01:13:42,@adefola09 They said they don’t have coverage at my side oo... thinking of getting ipnx,Twitter for iPhone,Neutral
sprectranet,2020-04-13 23:20:20+00:00,"Omo
I've been wallowing in ignorance,appaz my spectranet sub had elapsed 100gb and I didn't even realize and I've been ranting about bad service meanwhile they have another package for 19k that is 500gb and I've been doing 100gb for 18k
E be things o",Twitter for iPhone,Negative
sprectranet,2020-01-04 16:20:15+00:00,@aniruoje Buy @Spectranet_NG,Twitter for Android,Positive
tizeti,2019-12-04 16:55:05+00:00,@ToluOrekoya @tizeti @wifisupport1 Jokes,Twitter for Android,Neutral
tizeti,2020-05-05 00:57:19+00:00,"@ConsumersNCC @wifisupport1 @tizeti Last week, I couldn't stream on netflix or download files.this week it has gotten so bad,I cannot see videos on social media even though the speed is suspiciously reading as fast.they claim to resolve it, two days later it goes right back.
Very reminiscent of nitel tossed lines.",Twitter for Android,Negative
sprectranet,2020-12-10 23:07:04+00:00,@Spectranet_NG how did I go from 26gb last night to 5gb today and I supposedly have free night browsing from 1am to 7am?,Twitter for iPhone,Negative
sprectranet,2019-08-05 10:50:41,"@Spectranet_NG No wahala.
Thank you.",Twitter for iPhone,Neutral
sprectranet,2020-04-04 11:59:42+00:00,@SaefhenryOsas @Spectranet_NG 🤣🤣 those ones na scam 🤣,Twitter for iPhone,Negative
sprectranet,2020-05-15 19:10:05+00:00,@Spectranet_NG please can you confirm if I have double data deal on my device?,Twitter for iPhone,Neutral
sprectranet,2020-09-15 21:02:02+00:00,"@Spectranet_NG hello Spectranet, you people called me today to advertise and remind me to top up and subscribe for another monthly data that I will have double of what I did but alas it wasn’t what you guys did. You guys uploaded this list but none is found in your app. https://t.co/cBIfIl7spC",Twitter for iPhone,Negative
