Tweets,Cleaned tweets,Detected aspects,Corresponding sentiment
spectranet_ng is this even fair? i won't renew next month and you people should not even bother calling me. i will curse you!,spectranetng is this even fair i wont renew next month and you people should not even bother calling me i will curse you,,
eniolashitta youtube is where spectranet starts to smile cos data will disappear fast fast 😭😭,eniolashitta youtube is where spectranet starts to smile cos data will disappear fast fast ,['speed'],['Negative']
"oluwadamilolaog spectranet_ng my second device , the big one .",oluwadamilolaog spectranetng my second device the big one,,
mtnng globacomnigeria gloworld airtelnigeria etisalat_care spectranet_ng can we please get a 50% cut off price on data? it's a crucial time now. we need a pay cut. #weneeddatapaycut #paycutdata segalink gidi_traffic tosinolugbenga omojuwa drjoeabah seunkuti housengr,mtnng globacomnigeria gloworld airtelnigeria etisalatcare spectranetng can we please get a 50 cut off price on data its a crucial time now we need a pay cut weneeddatapaycut paycutdata segalink giditraffic tosinolugbenga omojuwa drjoeabah seunkuti housengr,['price'],['Negative']
igalaman tizeti no one. and they will still collect full money,igalaman tizeti no one and they will still collect full money,,
desolasugar spectranet?,desolasugar spectranet,,
rhenikhe smilecomsng spectranet_ng,rhenikhe smilecomsng spectranetng,,
ola_akodu na to just go subscribe for swift or spectranet because this netflix will ruin us and our data soon 😂,olaakodu na to just go subscribe for swift or spectranet because this netflix will ruin us and our data soon ,,
"babymariam01 spectranet_ng ahan, now now",babymariam01 spectranetng ahan now now,,
"tried giving spectranet a last chance yesterday, put their sim in my mifi and the network was red, lmao. i just tossed it in the bin sharply. jokers spectranet_ng",tried giving spectranet a last chance yesterday put their sim in my mifi and the network was red lmao i just tossed it in the bin sharply jokers spectranetng,,
is it only me or spectranet network isn't loading instagram cuz i don't get it,is it only me or spectranet network isnt loading instagram cuz i dont get it,,
"drjoeabah spectranet_ng haba welcome sir, when you say you will maintain silence there is no going back. thank god, our ""conscience"" has returned 😬😬🤣🤣🤣🤣🤣🤣",drjoeabah spectranetng haba welcome sir when you say you will maintain silence there is no going back thank god our conscience has returned ,,
ladispeaks smilecomsng smile na fraud naa....try swift or spectranet,ladispeaks smilecomsng smile na fraud naatry swift or spectranet,,
bodii06 ogbenidipo why not get spectranet if it's accessible in your area,bodii06 ogbenidipo why not get spectranet if its accessible in your area,,
spectranet data management tips always make me laugh with 25kb/s? the speed is my data manager 😂,spectranet data management tips always make me laugh with 25kbs the speed is my data manager ,"['speed', 'customer service']","['Positive', 'Positive']"
spectranet_ng open your dm,spectranetng open your dm,,
"lexxydee spectranet_ng globacomnigeria that's the saddest thing. are they not supposed to know that their service has degraded, yet no apologies and when i complain, their response is sloppy. swift would extend my expiry just for few hours downtime.",lexxydee spectranetng globacomnigeria thats the saddest thing are they not supposed to know that their service has degraded yet no apologies and when i complain their response is sloppy swift would extend my expiry just for few hours downtime,['customer service'],['Negative']
spectranet is just trash.,spectranet is just trash,,
"sir_jabulani tizeti bia jabulani, which other isp can i switch to? any suggestions?",sirjabulani tizeti bia jabulani which other isp can i switch to any suggestions,,
its either my spectranet becomes extremely fast after a rainfall or extremely slow a good time.,its either my spectranet becomes extremely fast after a rainfall or extremely slow a good time,['speed'],['Negative']
mcosiofwar tizeti netflixnaija thanks for the heads up!!!,mcosiofwar tizeti netflixnaija thanks for the heads up,,
spectranet_ng omeenwa please check yours. nothing in my dm from you.,spectranetng omeenwa please check yours nothing in my dm from you,,
syl_space smile and spectranet are almost everywhere in lagos now,sylspace smile and spectranet are almost everywhere in lagos now,,
tizeti please stop selling what doesn't work,tizeti please stop selling what doesnt work,,
shey spectranet_ng no dey do 100% bonus data again?!,shey spectranetng no dey do 100 bonus data again,,
"let's be real, if this was a normal country i would have sued spectranet and used their money to promote my music video.",lets be real if this was a normal country i would have sued spectranet and used their money to promote my music video,,
guccij9 igbokweko eshenicy drjoeabah spectranet_ng dstvng thanks i have a and b...,guccij9 igbokweko eshenicy drjoeabah spectranetng dstvng thanks i have a and b,,
swift or spectranet?,swift or spectranet,,
ivy_nifty get spectranet,ivynifty get spectranet,,
"so spectranet_ng has decided not to give the double data bonus, my family and i have been waiting patiently for their email/text.. 😪😥",so spectranetng has decided not to give the double data bonus my family and i have been waiting patiently for their emailtext ,,
from me to tizeti i am really disappointed #internet #woodberry,from me to tizeti i am really disappointed internet woodberry,,
"spectranet_ng good day, want to complain about the service. the network keeps disappearing. what's going on? this has been happening since the lock down.",spectranetng good day want to complain about the service the network keeps disappearing whats going on this has been happening since the lock down,['customer service'],['Negative']
spectranet_ng sent you a dm. kindly respond.,spectranetng sent you a dm kindly respond,,
spectranet is so fucked up 😭😭,spectranet is so fucked up ,,
it's kukuma spectranet.,its kukuma spectranet,,
my extra spectranet_ng data has landed dis_z_bash see yourself outside 😂,my extra spectranetng data has landed diszbash see yourself outside ,,
marigoldtees spectranet_ng dump their network. that's the best thing else you won't stop complaining,marigoldtees spectranetng dump their network thats the best thing else you wont stop complaining,,
shame on you ntelng ntelcare you guys promised over 60mbps and look at what i am getting at a location close to unilag. i did rather just switch to spectranet_ng,shame on you ntelng ntelcare you guys promised over 60mbps and look at what i am getting at a location close to unilag i did rather just switch to spectranetng,,
100% usage ba wo??? spectranet_ng,100 usage ba wo spectranetng,,
"praizchris iamchilas isocroft spectranet_ng allengblack please dear, let spectranet_ng speak for itself.",praizchris iamchilas isocroft spectranetng allengblack please dear let spectranetng speak for itself,,
kechilauren finally got ipnx 2 weeks ago ...,kechilauren finally got ipnx 2 weeks ago,,
seyimarcus spectranet_ng i will do the same and that's saying i would sub at all sef... the connectivity is a drag now. a long way from when they started,seyimarcus spectranetng i will do the same and thats saying i would sub at all sef the connectivity is a drag now a long way from when they started,,
"ncdc, mtn, gtb and spectranet dats all 🤔",ncdc mtn gtb and spectranet dats all ,,
now i've paid for spectranet to watch match and i got debited without it reflecting 😤😤😤,now ive paid for spectranet to watch match and i got debited without it reflecting ,,
dear spectranet_ng after several calls without any resolution. kindly attend to the dm sent by slekstar before this gets out of hand. #lagosunrest #covid19 #mondaymotivation,dear spectranetng after several calls without any resolution kindly attend to the dm sent by slekstar before this gets out of hand lagosunrest covid19 mondaymotivation,,
1mins video go use 5mins load. spectranet_ng aja john wick ma ku ni office yin oo 🖐🏾🖐🏾🖐🏾,1mins video go use 5mins load spectranetng aja john wick ma ku ni office yin oo ,,
spectranet is moving mad this morning,spectranet is moving mad this morning,,
jamesagada tizeti iaboyeji note that speed matters as much as data,jamesagada tizeti iaboyeji note that speed matters as much as data,['speed'],['Positive']
i have never subscribed my data for a month and it ever lasted up to that and i dont even download shit ..i have to order me a mifi biko spectranet_ng come to my aid before i change my mind.,i have never subscribed my data for a month and it ever lasted up to that and i dont even download shit i have to order me a mifi biko spectranetng come to my aid before i change my mind,,
"spectranet_ng , una give us 1gb and take speed, pls take your 1gb and return back the speed.",spectranetng una give us 1gb and take speed pls take your 1gb and return back the speed,['speed'],['Neutral']
wifisupport1 tizeti it's not about the usage history. your service sucks. i have been down now for over 5hrs and all i hear is we're optimizing which has been the song since jan,wifisupport1 tizeti its not about the usage history your service sucks i have been down now for over 5hrs and all i hear is were optimizing which has been the song since jan,['customer service'],['Negative']
khaleed_ng mbuhari jidesanwoolu we go tag jack and spectranet_ng,khaleedng mbuhari jidesanwoolu we go tag jack and spectranetng,,
wifisupport1 ngcomcommission cenbank it's over a week now and still the same stupid excuse while my money keeps running. ngcomcommission you need to look out for the consumers. wifi/tizeti is a daylight robbery organisation by taking subscribers subscription and not providing service they promise to deliver.,wifisupport1 ngcomcommission cenbank its over a week now and still the same stupid excuse while my money keeps running ngcomcommission you need to look out for the consumers wifitizeti is a daylight robbery organisation by taking subscribers subscription and not providing service they promise to deliver,['customer service'],['Negative']
spectranet_ng when are you guys doing double data oooo,spectranetng when are you guys doing double data oooo,,
"i regret not doing my research thoroughly before getting my ass stuck with tizeti sincerely, with just less than 12days of purchase i've had series of complain. this is fckn bs! cc wifisupport1",i regret not doing my research thoroughly before getting my ass stuck with tizeti sincerely with just less than 12days of purchase ive had series of complain this is fckn bs cc wifisupport1,,
spectranet_ng good evening. i mistakenly subscribed for 40gb nite plan instead of 40gb unified! please is there a way to rectify this? i need an urgent response,spectranetng good evening i mistakenly subscribed for 40gb nite plan instead of 40gb unified please is there a way to rectify this i need an urgent response,,
"tizeti this is the problem with nigerian businesses. instead of perfecting their business and making sure customers are satisfied - any little funding they get, they are already thinking about expanding to ghana and siera leone 🙄. be expanding o, i will cancel my sub soon.",tizeti this is the problem with nigerian businesses instead of perfecting their business and making sure customers are satisfied any little funding they get they are already thinking about expanding to ghana and siera leone  be expanding o i will cancel my sub soon,['customer service'],['Positive']
"therealmusty toolzo spectranet_ng lol, they called me and sent me a text.",therealmusty toolzo spectranetng lol they called me and sent me a text,,
thanks to spectranet_ng & airtelnigeria for gifting me with data and voice bonuses respectively. happy birthday to me.,thanks to spectranetng airtelnigeria for gifting me with data and voice bonuses respectively happy birthday to me,,
spectranet or swift??? please suggest! mtn is robbing me blind !,spectranet or swift please suggest mtn is robbing me blind,,
waiting for spectranet_ng double data offer via text for the past 3 days so i can subscribe 😪,waiting for spectranetng double data offer via text for the past 3 days so i can subscribe ,['customer service'],['Neutral']
"babymariam01 spectranet_ng network wey no dey work for akoka, how e wan take work for somolu 😂",babymariam01 spectranetng network wey no dey work for akoka how e wan take work for somolu ,,
"pearls_collections has now expanded into the telecom business world. she partners with major telecommunication companies like mtn, glo, spectranet, etc. and other cable network companies like dstv, gotv and...",pearlscollections has now expanded into the telecom business world she partners with major telecommunication companies like mtn glo spectranet etc and other cable network companies like dstv gotv and,['customer service'],['Positive']
spectranet is effing up cuz of rain,spectranet is effing up cuz of rain,,
"after making me use my last 10k to renew my account on their network, there's still no spectranet_ng service in my area. best to just flush the router down the toilet 😣😣😣😣😣",after making me use my last 10k to renew my account on their network theres still no spectranetng service in my area best to just flush the router down the toilet ,['customer service'],['Negative']
tizeti is useless. 😒,tizeti is useless ,,
tmarkn swift4glte unfortunately spectranet_ng and lekki are not in good terms. take heart bro.,tmarkn swift4glte unfortunately spectranetng and lekki are not in good terms take heart bro,,
plis why is your network trashy tonight spectranet_ng,plis why is your network trashy tonight spectranetng,,
i'm so mad that i bought this spectranet. very very useless,im so mad that i bought this spectranet very very useless,,
"spectranet_ng i just want to tell you guys that your network is trash. too poor for how much it costs. and please don't tell me to send you a dm. fix up, that's all i ask.",spectranetng i just want to tell you guys that your network is trash too poor for how much it costs and please dont tell me to send you a dm fix up thats all i ask,,
is my spectranet is extra shitty or masterkraft's network horrible?,is my spectranet is extra shitty or masterkrafts network horrible,,
"spectranet_ng i have been experiencing issue with my device since i bought it once is 10pm the speed of internet will becomes unbearable, i have complaint several times no action has been taken. sim no 621245010489855 and device no 354972063147302, kindly assist to resolve this.",spectranetng i have been experiencing issue with my device since i bought it once is 10pm the speed of internet will becomes unbearable i have complaint several times no action has been taken sim no 621245010489855 and device no 354972063147302 kindly assist to resolve this,['speed'],['Negative']
how much longer will i wait for customer care service to attend to me #bbnaijia #bbnaija19 tizeti tizeti,how much longer will i wait for customer care service to attend to me bbnaijia bbnaija19 tizeti tizeti,['customer service'],['Neutral']
"2gb file, spectranet day tell me 4hrs to download for midnight 😂😂😂😂",2gb file spectranet day tell me 4hrs to download for midnight ,,
"*all payments can be done on the app(dstv, gotv, smile, swift, spectranet, phcn etc) * you can also purchase data and airtime of all networks on the app",all payments can be done on the appdstv gotv smile swift spectranet phcn etc you can also purchase data and airtime of all networks on the app,,
"elcrucifixio but for real. spectranet subscription na 19k for unlimited. youtube, google and co dey but they want their mentor to mentor them. mama now said, you people are not worthy to see my face but you can have my number. create group for dumb people to be laughing at every morning.",elcrucifixio but for real spectranet subscription na 19k for unlimited youtube google and co dey but they want their mentor to mentor them mama now said you people are not worthy to see my face but you can have my number create group for dumb people to be laughing at every morning,,
iamchrisani moldina boycottfrauds tizeti wifisupport1 i'm with you. my internet hasn't worked for 9 days now. and they are not even responding to my email. class action?,iamchrisani moldina boycottfrauds tizeti wifisupport1 im with you my internet hasnt worked for 9 days now and they are not even responding to my email class action,,
dipz_avi spectranet_ng even their data speed has been horrible 🤦🏽‍♂️,dipzavi spectranetng even their data speed has been horrible ,['speed'],['Negative']
astoldbyjkae what is a spectranet?,astoldbyjkae what is a spectranet,,
tizeti here they are people. wait no longer.. you better abandon all these telcos that 2k data don't last more than hours. am enjoying this now. it only need constant light.,tizeti here they are people wait no longer you better abandon all these telcos that 2k data dont last more than hours am enjoying this now it only need constant light,,
i want to be awake all night but mehn tizeti na bastard,i want to be awake all night but mehn tizeti na bastard,,
"spectranet_ng hello, please help me. my wifi isn't connecting to any of my devices anymore. i don't know what's wrong. i was using it then it disconnected",spectranetng hello please help me my wifi isnt connecting to any of my devices anymore i dont know whats wrong i was using it then it disconnected,,
igbokweko drjoeabah spectranet_ng dstvng dstvng ! don't even go there. dstv na die,igbokweko drjoeabah spectranetng dstvng dstvng dont even go there dstv na die,,
"tizeti is a useless company, only if fccpcnigeria can go after every company falsely advertising. they'll claim unlimited internet but block netflix's ip for smart tv.",tizeti is a useless company only if fccpcnigeria can go after every company falsely advertising theyll claim unlimited internet but block netflixs ip for smart tv,['customer service'],['Negative']
tizeti but your service is crappy,tizeti but your service is crappy,['customer service'],['Negative']
spectranet_ng please let's find a way to track this modem of a thing. i can't keep loosing this thing. i have to buy another one again 😭,spectranetng please lets find a way to track this modem of a thing i cant keep loosing this thing i have to buy another one again ,,
spectranet_ng you people want to be unfortunate today abi? what's this trash network all morning?,spectranetng you people want to be unfortunate today abi whats this trash network all morning,,
hello spectranet_ng i don't have network on my mifi device for the last 24hrs. all efforts to reach your cs reps on phone prove abortive. kindly assist please.,hello spectranetng i dont have network on my mifi device for the last 24hrs all efforts to reach your cs reps on phone prove abortive kindly assist please,,
spectranet_ng kindly deal with the no data access in ijesha. i need to access internet.,spectranetng kindly deal with the no data access in ijesha i need to access internet,['customer service'],['Negative']
someone should make me happy by paying for my spectranet subscription 😭😭😭,someone should make me happy by paying for my spectranet subscription ,,
spectranet has been wonderfully terrible this week.,spectranet has been wonderfully terrible this week,,
"itsdjprettiboi no_guile that's not an unlimited plan. spectranet has something similar, in a 100gb data cap, then it drops to 512kbps. that's why i ran away. i couldn't deal.",itsdjprettiboi noguile thats not an unlimited plan spectranet has something similar in a 100gb data cap then it drops to 512kbps thats why i ran away i couldnt deal,,
yemiidavis funkeolotu_ ahaaaa. dont buy spectranet_ng ooooo. they will frustrate you ehn! please please,yemiidavis funkeolotu ahaaaa dont buy spectranetng ooooo they will frustrate you ehn please please,,
i'll be expecting money call only for spectranet to call me 😡🤬 dam you,ill be expecting money call only for spectranet to call me  dam you,,
tizeti i have been calling for 1hr and no response please ensure my internet is working as it has not been working for 2 days,tizeti i have been calling for 1hr and no response please ensure my internet is working as it has not been working for 2 days,,
