ISP_Name,Time,Text,Source
sprectranet,2019-05-13 09:30:03,it gives me joy seeing my spectranet turning green and i get stream as i want with no buffering 💃💃,Twitter for iPhone
sprectranet,2020-04-21 06:11:55+00:00,spectranet_ng is this even fair? i won't renew next month and you people should not even bother calling me. i will curse you!,Twitter for iPhone
sprectranet,2020-02-04 18:30:35+00:00,my family used my spectranet and they don't want to help my ministry now it has finished. spectranet_ng abeg how will i change my password.,Twitter for Android
sprectranet,2019-02-16 18:11:48,spectranet_ng can i subscribe via ubagroup mobile app and get the 100% bonus?,Twitter for Android
sprectranet,2020-08-14 06:25:29+00:00,eniolashitta youtube is where spectranet starts to smile cos data will disappear fast fast 😭😭,Twitter for Android
sprectranet,2019-01-06 10:50:04,"oluwadamilolaog spectranet_ng my second device , the big one .",Twitter for iPhone
sprectranet,2019-06-19 04:59:49,spectranet_ng how can i get the freedom mifi in ajah today,Twitter for iPhone
sprectranet,2020-03-25 05:04:18+00:00,mtnng globacomnigeria gloworld airtelnigeria etisalat_care spectranet_ng can we please get a 50% cut off price on data? it's a crucial time now. we need a pay cut. #weneeddatapaycut #paycutdata segalink gidi_traffic tosinolugbenga omojuwa drjoeabah seunkuti housengr,Twitter for iPhone
tizeti,2020-06-18 11:49:15+00:00,sniperajix nejeebbello itytipster toksduttie tizeti ngcomcommission lasgcopa fccpcnigeria tundeirukera feranmisoye kazebleek gbengaosowe actually for over 15 years via the mother company kkontech,Twitter for Android
sprectranet,2020-10-20 08:36:06+00:00,if spectranet wants to be shit like this eh they go all the way. fix up your horrible network spectranet_ng,Twitter for iPhone
sprectranet,2020-03-30 07:57:38+00:00,drolufunmilayo iconic_remi spectranet_ng,Twitter for iPhone
tizeti,2020-07-08 05:37:08+00:00,igalaman tizeti no one. and they will still collect full money,Twitter for Android
sprectranet,2019-05-18 17:41:49,spectranet!!!!!spectranet!!! buy evo mifi  20000 and get 40gb with free 60gb on renewal and free unlimited night...,Twitter for Android
tizeti,2019-08-26 18:00:40+00:00,goo_geh 😂😂 tizeti they provide good and affordable data service.,Twitter for Android
sprectranet,2019-12-27 06:04:41,ezraelani spectranet_ng they got different types....you can check their website or any of their store close to you😊😊,Twitter for Android
sprectranet,2019-08-04 18:47:24,desolasugar spectranet?,Twitter for Android
tizeti,2019-07-28 22:13:53+00:00,tizeti please,Twitter for iPhone
tizeti,2020-04-04 21:28:37+00:00,"look at my tizeti speed, do you think i'm bothered about that 5g talk?",Twitter for iPhone
tizeti,2020-04-19 10:03:41+00:00,"please who is using i need to know how reliable it is, tired of all this networks",Twitter for Android
sprectranet,2020-12-31 21:07:52+00:00,"spectranet_ng your response just proves how horrid your customer service is. rather than ask what my issue is to help resolve, you render an apology. apology accepted!. now can you actually proffer solution? i am really disappointed with your services and attitude to customers",Twitter for Android
sprectranet,2020-09-03 23:09:09+00:00,"spectranet is just the worse tbh, i can't even watch a 5min video without serious lagging😫😫😫🤦🏽‍♂️",Twitter for iPhone
sprectranet,2020-07-24 17:26:13+00:00,djaysean spectranet_ng i switched to airtelnigeria. spectranet_ng come and see how you continue to let people down.,Twitter for Android
tizeti,2019-10-31 08:34:10+00:00,wifisupport1 tizeti our internet is still not working since yesterday... i have been trying to send mails but it bounces back,Twitter for Android
sprectranet,2020-07-22 09:57:34+00:00,"too many tall buildings in my area 🙄🙄. what got me angry was the last complaints i made, they responded saying there was nothing they could do about the network. so in june i finally decided to dump spectranet for another network and i've been having a far better experience.",Twitter for Android
sprectranet,2019-01-13 15:57:15,spectranet_ng #dontusespectranet incredibly poor network coverage and connectivity coupled with swift cellular data drain and extremely rude customer service representatives earn this cruel joke of a network a subzero rating. i definitely wouldn't recommend this excuse for a network to anyone. probably is the product of professional scammers determined to separate people from their hard-earned cash.,Twitter for Android
sprectranet,2019-11-14 20:26:38,rhenikhe smilecomsng spectranet_ng,Twitter for iPhone
sprectranet,2019-01-09 21:13:45,ola_akodu na to just go subscribe for swift or spectranet because this netflix will ruin us and our data soon 😂,Twitter for iPhone
sprectranet,2019-02-24 19:48:48,"spectranet_ng in ikoyi, you people have started again 🙄🙄",Twitter for iPhone
sprectranet,2020-03-31 10:51:41+00:00,"work from home, work from home but spectranet_ng has decided to be unfortunate. i can't even attached a simple document 🤦‍♂️! bloody hell!",Twitter for iPhone
tizeti,2020-04-14 21:37:27+00:00,"buddah24 adebayorisirisi wifisupport1 tizeti you know people in abusive relationship always hope that tomorrow will be better but when tomorrow comes, the story will still be the same... so, he will still be with his lovely network tomorrow and tweet at them.",Twitter for Android
sprectranet,2020-11-06 00:26:13+00:00,spectranet_ng isn't a worthy company anylonger.,Twitter for Android
sprectranet,2020-08-05 14:09:13+00:00,spectranet_ng it's a disgusting customer service festac branch. was directed to mr samuel to attend to me but he chooses to go eat and host while i wait for 23 mins and counting. haven't even been told how long i will wait. internal customer service poor let alone external,Twitter for iPhone
sprectranet,2020-02-13 16:41:58+00:00,therealmusty toolzo spectranet_ng baba today is double data.,Twitter for Android
sprectranet,2019-09-06 16:21:10,nothing as frustrating as terrible network and spectranet is taking the piss right now,Twitter for iPhone
sprectranet,2019-12-05 09:46:07,all isps should just do unlimited internet at 10k per month glocare mtnng airtelnigeria spectranet_ng swiftng are you ready?,Twitter for Android
tizeti,2020-08-21 23:19:34+00:00,"tizeti, wifisupport1 you guys have pushed me to the wall!! tired of your nonsense!!",Twitter for Android
sprectranet,2020-06-16 19:01:41+00:00,spectranet needs to investigated . i need to raise a petition,Twitter for iPhone
sprectranet,2020-03-29 18:34:55+00:00,"adarpt37 hismyel tobiomoty daddyhassler fifaeworldcup spectranet_ng there's a process , we need to be part of that process",Twitter for Android
sprectranet,2019-12-30 16:15:55,"babymariam01 spectranet_ng ahan, now now",Twitter for Android
sprectranet,2019-10-09 21:14:49,is there a reason for the really really bad service tonight? spectranet_ng,Twitter for iPhone
sprectranet,2019-05-18 10:38:56,yoruba_dev spectranet_ng ntel ? 🤔,Twitter for Android
tizeti,2020-01-21 18:36:54+00:00,"tizeti my internet has not worked since afternoon, what's the problem?",Twitter for iPhone
sprectranet,2020-09-27 10:32:19+00:00,"tried giving spectranet a last chance yesterday, put their sim in my mifi and the network was red, lmao. i just tossed it in the bin sharply. jokers spectranet_ng",Twitter for iPhone
sprectranet,2019-09-29 19:47:07,is it only me or spectranet network isn't loading instagram cuz i don't get it,Twitter for iPhone
sprectranet,2020-04-03 12:59:55+00:00,omo_west12 spectranet_ng spectranet_ng the people want give away oooo,Twitter for Android
sprectranet,2020-06-26 16:19:21+00:00,"drjoeabah spectranet_ng haba welcome sir, when you say you will maintain silence there is no going back. thank god, our ""conscience"" has returned 😬😬🤣🤣🤣🤣🤣🤣",Twitter for iPad
tizeti,2019-12-07 22:02:21+00:00,airtel and tizeti have failed me #ajruiz2 #anthonyjoshua,Twitter for Android
sprectranet,2019-04-15 22:09:55,ladispeaks smilecomsng smile na fraud naa....try swift or spectranet,Twitter for Android
sprectranet,2020-04-03 10:38:46+00:00,bodii06 ogbenidipo why not get spectranet if it's accessible in your area,Twitter for iPhone
sprectranet,2020-05-14 13:09:05+00:00,officialbambam4 spectranet_ng yes boss. airtel is looking very good tho. just that it's a bit more expensive though they have unlimited plans. i'll try ntel and stick with anyone that works best.,Twitter for Android
sprectranet,2020-04-24 22:42:14+00:00,spectranet or smile ? which is better,Twitter for iPhone
sprectranet,2019-01-05 17:37:37,left spectranet at home fml,Twitter for iPhone
sprectranet,2020-10-16 13:48:35+00:00,spectranet data management tips always make me laugh with 25kb/s? the speed is my data manager 😂,Twitter for Android
sprectranet,2019-12-27 06:22:36,spectranet_ng open your dm,Twitter for iPhone
sprectranet,2019-09-10 13:12:34,"lexxydee spectranet_ng globacomnigeria that's the saddest thing. are they not supposed to know that their service has degraded, yet no apologies and when i complain, their response is sloppy. swift would extend my expiry just for few hours downtime.",Twitter for Android
sprectranet,2019-07-01 18:51:19,adeorgomez clan_clueless 4g... now this is 3g.. bro throw your spectranet away 😂😂😂,Twitter for Android
tizeti,2019-09-26 16:49:15+00:00,ichtrojan it looks like na the way,Twitter for iPhone
sprectranet,2020-09-01 21:23:18+00:00,shawttynatt even glo and airtel. if not for spectranet that is doing the rescue.,Twitter for Android
tizeti,2019-04-28 17:54:10+00:00,ikayodele ntel and tizeti do not have caps. their service is just not that great,Twitter for iPhone
sprectranet,2020-05-18 13:45:42+00:00,spectranet is just trash.,Twitter for iPhone
tizeti,2019-11-28 14:25:34+00:00,sky_jfk ntelng tizeti are there network cables or it's all wifi?,Twitter for iPhone
tizeti,2020-01-10 07:30:51+00:00,"sir_jabulani tizeti bia jabulani, which other isp can i switch to? any suggestions?",Twitter for Android
