ISP_Name,Time,Text,Source,sentiment,label
sprectranet,2020-02-04 18:30:35+00:00,my family used my spectranet and they don't want to help my ministry now it has finished. spectranet_ng abeg how will i change my password.,Twitter for Android,Neutral,1
sprectranet,2019-06-19 04:59:49,spectranet_ng how can i get the freedom mifi in ajah today,Twitter for iPhone,Neutral,1
sprectranet,2020-03-30 07:57:38+00:00,drolufunmilayo iconic_remi spectranet_ng,Twitter for iPhone,Neutral,1
sprectranet,2020-12-31 21:07:52+00:00,"spectranet_ng your response just proves how horrid your customer service is. rather than ask what my issue is to help resolve, you render an apology. apology accepted!. now can you actually proffer solution? i am really disappointed with your services and attitude to customers",Twitter for Android,Negative,0
sprectranet,2020-09-03 23:09:09+00:00,"spectranet is just the worse tbh, i can't even watch a 5min video without serious lagging😫😫😫🤦🏽‍♂️",Twitter for iPhone,Negative,0
sprectranet,2019-01-13 15:57:15,spectranet_ng #dontusespectranet incredibly poor network coverage and connectivity coupled with swift cellular data drain and extremely rude customer service representatives earn this cruel joke of a network a subzero rating. i definitely wouldn't recommend this excuse for a network to anyone. probably is the product of professional scammers determined to separate people from their hard-earned cash.,Twitter for Android,Negative,0
tizeti,2020-04-14 21:37:27+00:00,"buddah24 adebayorisirisi wifisupport1 tizeti you know people in abusive relationship always hope that tomorrow will be better but when tomorrow comes, the story will still be the same... so, he will still be with his lovely network tomorrow and tweet at them.",Twitter for Android,Negative,0
sprectranet,2020-11-06 00:26:13+00:00,spectranet_ng isn't a worthy company anylonger.,Twitter for Android,Negative,0
sprectranet,2020-08-05 14:09:13+00:00,spectranet_ng it's a disgusting customer service festac branch. was directed to mr samuel to attend to me but he chooses to go eat and host while i wait for 23 mins and counting. haven't even been told how long i will wait. internal customer service poor let alone external,Twitter for iPhone,Negative,0
sprectranet,2020-02-13 16:41:58+00:00,therealmusty toolzo spectranet_ng baba today is double data.,Twitter for Android,Neutral,1
sprectranet,2019-09-06 16:21:10,nothing as frustrating as terrible network and spectranet is taking the piss right now,Twitter for iPhone,Negative,0
sprectranet,2020-03-29 18:34:55+00:00,"adarpt37 hismyel tobiomoty daddyhassler fifaeworldcup spectranet_ng there's a process , we need to be part of that process",Twitter for Android,Neutral,1
tizeti,2019-12-07 22:02:21+00:00,airtel and tizeti have failed me #ajruiz2 #anthonyjoshua,Twitter for Android,Negative,0
sprectranet,2020-09-01 21:23:18+00:00,shawttynatt even glo and airtel. if not for spectranet that is doing the rescue.,Twitter for Android,Positive,2
tizeti,2020-06-03 22:47:08+00:00,cant even get internet to do my work 🤡🤡🤡🤡👿 tizeti,Twitter for Android,Negative,0
sprectranet,2019-03-25 19:18:05,digitaltrends spectranet_ng how far? are we going to get this in nigeria?,Twitter for Android,Neutral,1
sprectranet,2020-10-01 10:20:09+00:00,"looking at my payslip and seeing how much my employer pays for my tax really get to me, like i don't benefit this amount you're paying. this amount with 2k addition could make a sub on spectranet_ng for a month i'm been abused and maltreated by this country to be paying such tax",Twitter for Android,Neutral,1
sprectranet,2020-09-11 10:25:24+00:00,"ziniiex spectranet_ng hi zinnie, give me ur user id, i'll send it to my former colleagues there to help u suspend the account or better still send an email to highlighting ur user id on the subject , request for immediate suspension of account. cheers",Twitter for iPhone,Neutral,1
sprectranet,2019-05-20 12:22:17,spectranet_ng hwfa? why so slow???,Twitter for Android,Negative,0
tizeti,2020-03-12 06:58:52+00:00,wifisupport1 tweetmrsly1 tizeti #fucktizeti,Twitter for Android,Negative,0
sprectranet,2020-04-04 02:37:31+00:00,day or night spectranet_ng remain useless 🤦🏽‍♂️,Twitter for iPhone,Negative,0
sprectranet,2020-04-04 13:55:27+00:00,i have been trying to do an upload since!! mtn and spectranet please na!!,Twitter for iPhone,Negative,0
sprectranet,2020-03-27 09:02:59+00:00,"dre81us wow, sorry about this. spectranet works great for my building. i have my airtel line loaded as backup but i haven't had to use it yet",Twitter for Android,Positive,2
sprectranet,2019-08-20 17:17:21,clan_clueless ah was asking about them online yesterday before paying this stupid spectranet. how far? are they any good bro?,Twitter for iPhone,Negative,0
sprectranet,2019-09-15 06:34:06,"ahhh, spectranet_ng gave me free birthday data! turn uppp! 💃🏾💃🏾",Twitter for Android,Positive,2
sprectranet,2019-12-26 21:59:56,mtewww.....this was my predicament before i bought spectranet_ng jeje!,Twitter for Android,Positive,2
tizeti,2020-01-28 08:03:45+00:00,mrtoluabiodun tizeti 😭😭😭,Twitter for iPhone,Neutral,1
tizeti,2020-03-12 23:35:36+00:00,"rabbi_oceans isnotpolitics tizeti bros, i no wan talk this morning.",Twitter for Android,Neutral,1
sprectranet,2020-05-03 07:16:02+00:00,degentleman_ come to spectranet 😌😌,Twitter for iPhone,Positive,2
tizeti,2019-11-13 10:48:45+00:00,sunday104 tizeti wifisupport1 ngcomcommission caccot1 babajideotitoju segalink the other guy is collating history of failure. i just decided not to engage gim again when they are done. i am expecting call for next service subscription. failure and sorry people.,Twitter for Android,Neutral,1
sprectranet,2020-12-02 15:26:51+00:00,let me just transfer money for my next subscription to my spectranet purse before story will enter...,Twitter for iPhone,Neutral,1
sprectranet,2020-09-01 06:58:51+00:00,spectranet no dey fear god.,Twitter for iPhone,Negative,0
sprectranet,2019-05-02 03:30:18,enesoulfood depend on the kind of mifi smile is 9800 spectranet is like 15k,Twitter for Android,Neutral,1
