Text,Cleaned tweets,Aspects,Sentiment
mtnng globacomnigeria gloworld airtelnigeria etisalat_care spectranet_ng can we please get a 50% cut off price on data? it's a crucial time now. we need a pay cut. #weneeddatapaycut #paycutdata segalink gidi_traffic tosinolugbenga omojuwa drjoeabah seunkuti housengr,mtnng globacomnigeria gloworld airtelnigeria etisalatcare spectranetng can we please get a 50 cut off price on data its a crucial time now we need a pay cut weneeddatapaycut paycutdata segalink giditraffic tosinolugbenga omojuwa drjoeabah seunkuti housengr,['price'],['Neutral']
"tried giving spectranet a last chance yesterday, put their sim in my mifi and the network was red, lmao. i just tossed it in the bin sharply. jokers spectranet_ng",tried giving spectranet a last chance yesterday put their sim in my mifi and the network was red lmao i just tossed it in the bin sharply jokers spectranetng,['coverage'],['Negative']
bodii06 ogbenidipo why not get spectranet if it's accessible in your area,bodii06 ogbenidipo why not get spectranet if its accessible in your area,['coverage'],['Neutral']
spectranet data management tips always make me laugh with 25kb/s? the speed is my data manager 😂,spectranet data management tips always make me laugh with 25kbs the speed is my data manager,['speed'],['Neutral']
"lexxydee spectranet_ng globacomnigeria that's the saddest thing. are they not supposed to know that their service has degraded, yet no apologies and when i complain, their response is sloppy. swift would extend my expiry just for few hours downtime.",lexxydee spectranetng globacomnigeria thats the saddest thing are they not supposed to know that their service has degraded yet no apologies and when i complain their response is sloppy swift would extend my expiry just for few hours downtime,['customer service'],['Negative']
"spectranet_ng good day, want to complain about the service. the network keeps disappearing. what's going on? this has been happening since the lock down.",spectranetng good day want to complain about the service the network keeps disappearing whats going on this has been happening since the lock down,['coverage'],['Negative']
shame on you ntelng ntelcare you guys promised over 60mbps and look at what i am getting at a location close to unilag. i did rather just switch to spectranet_ng,shame on you ntelng ntelcare you guys promised over 60mbps and look at what i am getting at a location close to unilag i did rather just switch to spectranetng,['speed'],['Negative']
dear spectranet_ng after several calls without any resolution. kindly attend to the dm sent by slekstar before this gets out of hand. #lagosunrest #covid19 #mondaymotivation,dear spectranetng after several calls without any resolution kindly attend to the dm sent by slekstar before this gets out of hand lagosunrest covid19 mondaymotivation,['customer service'],['Negative']
1mins video go use 5mins load. spectranet_ng aja john wick ma ku ni office yin oo 🖐🏾🖐🏾🖐🏾,1mins video go use 5mins load spectranetng aja john wick ma ku ni office yin oo,['speed'],['Negative']
jamesagada tizeti iaboyeji note that speed matters as much as data,jamesagada tizeti iaboyeji note that speed matters as much as data,['speed'],['Neutral']
