ISP_Name,Time,Text,Coordinates,Place,Source
sprectranet,2019-01-18 22:22:16,@UMEHoma @Spectranet_NG @CPCNig @SANNigeria @FCC And those their representatives will be calling somebody using sweet voice 🤦‍♂️🤦‍♂️,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-18 08:53:02,"After making me use my last 10k to renew my account on their network, there's still no  @Spectranet_NG service in my area. Best to just flush the router down the toilet 😣😣😣😣😣
",,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='011a942e0a0e8fb2', url='https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', place_type='admin', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-17 23:09:32,@Spectranet_NG I can see the bonus data on the web but not on the mobile app. Why?,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-17 23:05:19,@Spectranet_NG Renewed and didn't get the bonus????,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-17 16:36:17,This Spectranet is so shit I’m gonna so regret buying. Very shitty service and I thought Smile was worse 🤦🏽‍♂️,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='011a942e0a0e8fb2', url='https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', place_type='admin', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-17 15:20:37,@Spectranet_NG cydm,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='011a942e0a0e8fb2', url='https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', place_type='admin', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-17 13:18:28,"Hey guys, Swift 4g vs Spectranet. Which would you rather please?",,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
sprectranet,2019-01-14 11:43:00,"Hi, A spectranet Engineer came to my apartment on sat with his laptop and device. He confirmed bad signal and gave me a report. Do you have an office in Ozone, yaba? I could go there today with the report.
Thanks
",,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for Android
sprectranet,2019-01-13 15:57:15,@Spectranet_NG #dontusespectranet Incredibly poor network coverage and connectivity coupled with swift cellular data drain and extremely rude customer service representatives earn this cruel joke of a network a subzero rating. I definitely wouldn't recommend this excuse for a network to anyone. Probably is the product of professional scammers determined to separate people from their hard-earned cash.,,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for Android
sprectranet,2019-01-13 07:37:46,"A little one for @Spectranet_NG @SPECTRANETLTE 
Go get yours too

Happy Sunday 
#HappySunday https://t.co/ZnXBtylYu1",,"Place(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f96f2fa5dd0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
