loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5939,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.5727940797805786,0.14285714285714285,0.2222222222222222,0.15384615384615383,24.8663,3.941,0.523,,,,,
0.5188,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.5413033366203308,0.16666666666666666,0.2222222222222222,0.17543859649122803,25.481,3.846,0.51,,,,,
0.5395,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.5234155058860779,0.0,0.0,0.0,24.6422,3.977,0.528,,,,,
0.4738,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.5329837203025818,0.0,0.0,0.0,24.482,4.003,0.531,,,,,
0.5132,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.5162230730056763,0.0,0.0,0.0,24.6452,3.976,0.527,,,,,
0.3911,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.49813297390937805,0.25,0.3333333333333333,0.2631578947368421,24.762,3.958,0.525,,,,,
0.3286,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.5024896860122681,0.2222222222222222,0.2222222222222222,0.2222222222222222,24.4079,4.015,0.533,,,,,
0.2813,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.3918444514274597,0.3157894736842105,0.6666666666666666,0.3529411764705882,24.4136,4.014,0.532,,,,,
0.1389,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.5912240147590637,0.5,0.2222222222222222,0.4,24.4432,4.009,0.532,,,,,
0.143,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.5024498701095581,0.625,0.5555555555555556,0.6097560975609756,24.3696,4.021,0.533,,,,,
0.0631,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.5020123720169067,0.7142857142857143,0.5555555555555556,0.6756756756756758,24.8117,3.95,0.524,,,,,
0.0406,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.8293691277503967,0.5,0.2222222222222222,0.4,24.3615,4.023,0.534,,,,,
0.0219,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.5827392339706421,0.7142857142857143,0.5555555555555556,0.6756756756756758,24.3331,4.027,0.534,,,,,
0.0143,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.6634926795959473,0.5714285714285714,0.4444444444444444,0.5405405405405405,24.8501,3.944,0.523,,,,,
0.0097,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.6920145750045776,0.6666666666666666,0.4444444444444444,0.606060606060606,25.3579,3.865,0.513,,,,,
,,15.0,150,,,,,,,,4510.4576,0.971,0.033,453787081943040.0,0.2714415862659613
