loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3975,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,1.4200907945632935,0.125,0.0625,0.10416666666666667,24.4201,4.013,0.532,,,,,
1.3917,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,1.2899430990219116,0.0,0.0,0.0,24.305,4.032,0.535,,,,,
1.1694,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,1.0559765100479126,0.0,0.0,0.0,24.286,4.035,0.535,,,,,
0.8827,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.6215125918388367,0.7,0.4375,0.625,24.4867,4.002,0.531,,,,,
0.6097,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.45136260986328125,0.6923076923076923,0.5625,0.6617647058823529,24.3666,4.022,0.534,,,,,
0.4517,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.42294007539749146,0.7142857142857143,0.625,0.6944444444444444,24.3053,4.032,0.535,,,,,
0.484,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.40180346369743347,0.7142857142857143,0.625,0.6944444444444444,24.3519,4.024,0.534,,,,,
0.3481,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.3882105052471161,0.6666666666666666,0.625,0.6578947368421052,24.3655,4.022,0.534,,,,,
0.3478,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.3394497036933899,0.625,0.625,0.625,24.3692,4.021,0.533,,,,,
0.3423,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.2970733344554901,0.6086956521739131,0.875,0.6481481481481481,24.3791,4.02,0.533,,,,,
0.2283,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.2759775221347809,0.6086956521739131,0.875,0.6481481481481481,24.342,4.026,0.534,,,,,
0.1749,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.35263100266456604,0.5,0.9375,0.5514705882352942,24.375,4.021,0.533,,,,,
0.1102,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.5254974961280823,0.6875,0.6875,0.6875,24.5457,3.993,0.53,,,,,
0.0823,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.4922095239162445,0.6470588235294118,0.6875,0.6547619047619048,24.6352,3.978,0.528,,,,,
0.034,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.6088127493858337,0.5,0.75,0.5357142857142857,24.4054,4.016,0.533,,,,,
,,15.0,150,,,,,,,,4316.3193,1.015,0.035,453787081943040.0,0.5369728859265646
