loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5947,4.75e-05,1.0,10,,,,,,,,,,,,
,,1.0,10,0.5218349695205688,0.0,0.0,0.0,25.1488,3.897,0.517,,,,,
0.4994,4.5e-05,2.0,20,,,,,,,,,,,,
,,2.0,20,0.39645981788635254,0.43478260869565216,0.8333333333333334,0.4807692307692307,25.5145,3.841,0.51,,,,,
0.2853,4.25e-05,3.0,30,,,,,,,,,,,,
,,3.0,30,0.2333541065454483,0.7692307692307693,0.8333333333333334,0.7812499999999999,24.903,3.935,0.522,,,,,
0.1498,4e-05,4.0,40,,,,,,,,,,,,
,,4.0,40,0.23320145905017853,0.7142857142857143,0.8333333333333334,0.7352941176470589,25.2483,3.881,0.515,,,,,
0.0857,3.7500000000000003e-05,5.0,50,,,,,,,,,,,,
,,5.0,50,0.4258480370044708,0.75,0.5,0.6818181818181818,25.2523,3.881,0.515,,,,,
0.0562,3.5e-05,6.0,60,,,,,,,,,,,,
,,6.0,60,0.3158801794052124,0.6666666666666666,0.8333333333333334,0.6944444444444444,25.1547,3.896,0.517,,,,,
0.0132,3.2500000000000004e-05,7.0,70,,,,,,,,,,,,
,,7.0,70,0.33695268630981445,0.8181818181818182,0.75,0.8035714285714286,24.7513,3.959,0.525,,,,,
0.0088,3e-05,8.0,80,,,,,,,,,,,,
,,8.0,80,0.32522091269493103,0.8181818181818182,0.75,0.8035714285714286,24.9434,3.929,0.521,,,,,
0.0063,2.7500000000000004e-05,9.0,90,,,,,,,,,,,,
,,9.0,90,0.2980208396911621,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.811,3.95,0.524,,,,,
0.005,2.5e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.30962178111076355,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.5234,3.84,0.509,,,,,
0.0042,2.25e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.3181016743183136,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.7785,3.955,0.525,,,,,
0.0037,2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.3243882954120636,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.0822,3.907,0.518,,,,,
0.0033,1.75e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.32922112941741943,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.8297,3.947,0.524,,,,,
0.003,1.5e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.3331734538078308,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.2683,3.878,0.514,,,,,
0.0029,1.25e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.3365338444709778,0.8333333333333334,0.8333333333333334,0.8333333333333334,28.0532,3.493,0.463,,,,,
0.0027,1e-05,16.0,160,,,,,,,,,,,,
,,16.0,160,0.3392599821090698,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.8076,3.95,0.524,,,,,
0.0025,7.5e-06,17.0,170,,,,,,,,,,,,
,,17.0,170,0.34159597754478455,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.1624,3.895,0.517,,,,,
0.0025,5e-06,18.0,180,,,,,,,,,,,,
,,18.0,180,0.34310096502304077,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.9601,3.926,0.521,,,,,
0.0024,2.5e-06,19.0,190,,,,,,,,,,,,
,,19.0,190,0.3440486788749695,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.0322,3.915,0.519,,,,,
0.0024,0.0,20.0,200,,,,,,,,,,,,
,,20.0,200,0.34439414739608765,0.8333333333333334,0.8333333333333334,0.8333333333333334,25.5674,3.833,0.508,,,,,
,,20.0,200,,,,,,,,6724.7478,0.868,0.03,605049442590720.0,0.08671132196672261
