loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6989,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.6894833445549011,0.19230769230769232,0.9090909090909091,0.22831050228310504,25.0551,3.911,0.519,,,,,
0.6843,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.6655395030975342,0.0,0.0,0.0,24.7742,3.956,0.525,,,,,
0.6688,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.6325722336769104,0.0,0.0,0.0,24.6347,3.978,0.528,,,,,
0.6362,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.6034818887710571,0.0,0.0,0.0,24.5316,3.995,0.53,,,,,
0.6296,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.5761436820030212,0.0,0.0,0.0,24.4757,4.004,0.531,,,,,
0.6122,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.5594750642776489,0.0,0.0,0.0,24.5274,3.996,0.53,,,,,
0.5749,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.5413302779197693,0.0,0.0,0.0,24.3682,4.022,0.533,,,,,
0.5728,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.510375440120697,0.0,0.0,0.0,24.778,3.955,0.525,,,,,
0.5255,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.4727547764778137,0.4,0.36363636363636365,0.39215686274509803,24.7441,3.961,0.525,,,,,
0.3945,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.4351438283920288,0.375,0.5454545454545454,0.4,24.3173,4.03,0.535,,,,,
0.2676,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.3890111744403839,0.3888888888888889,0.6363636363636364,0.4216867469879518,24.3442,4.026,0.534,,,,,
0.2119,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.4557889699935913,0.3333333333333333,0.9090909090909091,0.381679389312977,24.5731,3.988,0.529,,,,,
0.1976,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.46137887239456177,0.8,0.36363636363636365,0.6451612903225806,24.3944,4.017,0.533,,,,,
0.128,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.384149968624115,0.43478260869565216,0.9090909090909091,0.4854368932038835,24.7762,3.955,0.525,,,,,
0.0632,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.4191446006298065,0.43478260869565216,0.9090909090909091,0.4854368932038835,24.4554,4.007,0.532,,,,,
,,15.0,150,,,,,,,,4426.998,0.989,0.034,453787081943040.0,0.4577433435122172
