loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1384,4.666666666666667e-05,1.0,10,,,,,,,,,,,,
,,1.0,10,0.31322553753852844,0.6875,0.8461538461538461,0.7142857142857142,25.4924,3.844,0.51,,,,,
0.0164,4.3333333333333334e-05,2.0,20,,,,,,,,,,,,
,,2.0,20,0.7363103032112122,0.75,0.46153846153846156,0.6666666666666666,24.7815,3.955,0.525,,,,,
0.0293,4e-05,3.0,30,,,,,,,,,,,,
,,3.0,30,0.5777865052223206,0.6111111111111112,0.8461538461538461,0.6470588235294118,25.0512,3.912,0.519,,,,,
0.0306,3.6666666666666666e-05,4.0,40,,,,,,,,,,,,
,,4.0,40,0.6651357412338257,0.8888888888888888,0.6153846153846154,0.8163265306122449,24.9284,3.931,0.521,,,,,
0.0021,3.3333333333333335e-05,5.0,50,,,,,,,,,,,,
,,5.0,50,0.3714035153388977,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.6021,3.983,0.528,,,,,
0.0016,3e-05,6.0,60,,,,,,,,,,,,
,,6.0,60,0.39832088351249695,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.9145,3.933,0.522,,,,,
0.0013,2.6666666666666667e-05,7.0,70,,,,,,,,,,,,
,,7.0,70,0.40649133920669556,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.9886,3.922,0.52,,,,,
0.0011,2.3333333333333336e-05,8.0,80,,,,,,,,,,,,
,,8.0,80,0.580884575843811,0.9,0.6923076923076923,0.8490566037735849,24.6567,3.975,0.527,,,,,
0.0043,2e-05,9.0,90,,,,,,,,,,,,
,,9.0,90,0.3843606114387512,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.8011,3.951,0.524,,,,,
0.0009,1.6666666666666667e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.41828662157058716,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.7566,3.959,0.525,,,,,
0.0008,1.3333333333333333e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.4263516664505005,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.7975,3.952,0.524,,,,,
0.0008,1e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.43066880106925964,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.9136,3.934,0.522,,,,,
0.0007,6.666666666666667e-06,13.0,130,,,,,,,,,,,,
,,13.0,130,0.43277058005332947,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.8778,3.939,0.523,,,,,
0.0007,3.3333333333333333e-06,14.0,140,,,,,,,,,,,,
,,14.0,140,0.4337897300720215,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.8408,3.945,0.523,,,,,
0.0007,0.0,15.0,150,,,,,,,,,,,,
,,15.0,150,0.434052437543869,0.8461538461538461,0.8461538461538461,0.8461538461538461,24.6307,3.979,0.528,,,,,
,,15.0,150,,,,,,,,4943.9219,0.886,0.03,453802582517760.0,0.015314764818176627
