loss,learning_rate,epoch,step,eval_loss,eval_F-0.5,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7971,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.6640088558197021,0.4846938775510204,0.4846938775510204,0.4846938775510204,26.6375,3.792,0.488,,,,,
0.6831,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.6185011267662048,0.4858299595141701,0.48484848484848486,0.4897959183673469,30.6754,3.293,0.424,,,,,
0.6404,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.5810363292694092,0.4858299595141701,0.48484848484848486,0.4897959183673469,30.9962,3.258,0.419,,,,,
0.6122,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.5412232279777527,0.4869477911646586,0.485,0.49489795918367346,33.5726,3.008,0.387,,,,,
0.5318,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.5617454051971436,0.4869477911646586,0.485,0.49489795918367346,27.9166,3.618,0.466,,,,,
0.4795,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.6067478656768799,0.4858299595141701,0.48484848484848486,0.4897959183673469,25.6591,3.936,0.507,,,,,
0.5096,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.6141071915626526,0.4858299595141701,0.48484848484848486,0.4897959183673469,25.6189,3.942,0.507,,,,,
0.5933,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.6377749443054199,0.4869477911646586,0.485,0.49489795918367346,25.965,3.89,0.501,,,,,
0.4932,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.6555280089378357,0.4869477911646586,0.485,0.49489795918367346,25.754,3.922,0.505,,,,,
0.3179,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.6770209074020386,0.4869477911646586,0.485,0.49489795918367346,27.0414,3.735,0.481,,,,,
0.313,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.74357670545578,0.4823651452282158,0.484375,0.4744897959183674,30.9557,3.263,0.42,,,,,
0.1835,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.6602187156677246,0.4858299595141701,0.48484848484848486,0.4897959183673469,28.1517,3.588,0.462,,,,,
0.2626,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.7107654213905334,0.48804780876494025,0.48514851485148514,0.5,30.0951,3.356,0.432,,,,,
0.1339,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.7374722361564636,0.4858299595141701,0.48484848484848486,0.4897959183673469,29.8595,3.383,0.435,,,,,
0.3748,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.7354478240013123,0.48804780876494025,0.48514851485148514,0.5,27.7209,3.643,0.469,,,,,
,,15.0,150,,,,,,,,6497.0612,0.693,0.023,466219604736000.0,0.4617280960083008
