loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7575,4.5e-05,1.0,29,,,,,,,,,,,,,
,,1.0,29,0.630530834197998,0.7153623188405797,0.7693729665779355,0.6834625322997416,0.7763157894736842,30.8998,2.46,0.324,,,,,
0.2792,4e-05,2.0,58,,,,,,,,,,,,,
,,2.0,58,0.9569190144538879,0.7390350877192983,0.8595848595848596,0.6866207292563882,0.7894736842105263,20.4468,3.717,0.489,,,,,
0.1485,3.5e-05,3.0,87,,,,,,,,,,,,,
,,3.0,87,1.0617308616638184,0.7006345651362449,0.7666666666666666,0.6665231122595463,0.7631578947368421,19.5208,3.893,0.512,,,,,
0.0761,3e-05,4.0,116,,,,,,,,,,,,,
,,4.0,116,0.983990490436554,0.7515262515262515,0.8574999999999999,0.7035601492965834,0.8026315789473685,20.8308,3.648,0.48,,,,,
0.039,2.5e-05,5.0,145,,,,,,,,,,,,,
,,5.0,145,0.9530938863754272,0.8219954648526078,0.8364898989898991,0.8146712604076946,0.8289473684210527,19.9556,3.808,0.501,,,,,
0.0264,2e-05,6.0,174,,,,,,,,,,,,,
,,6.0,174,0.9021992683410645,0.7981511952100186,0.78994708994709,0.811513063451048,0.8157894736842105,22.5998,3.363,0.442,,,,,
0.0068,1.5e-05,7.0,203,,,,,,,,,,,,,
,,7.0,203,0.8100842833518982,0.82964927792514,0.8193073593073593,0.8439563594602354,0.8552631578947368,21.9133,3.468,0.456,,,,,
0.0027,1e-05,8.0,232,,,,,,,,,,,,,
,,8.0,232,0.8698285818099976,0.818798848210613,0.8112433862433863,0.8316106804478899,0.8421052631578947,22.6595,3.354,0.441,,,,,
0.0024,5e-06,9.0,261,,,,,,,,,,,,,
,,9.0,261,0.901564359664917,0.8077211178334774,0.8033126293995859,0.8192650014355441,0.8289473684210527,20.6757,3.676,0.484,,,,,
0.0022,0.0,10.0,290,,,,,,,,,,,,,
,,10.0,290,0.9107887744903564,0.8077211178334774,0.8033126293995859,0.8192650014355441,0.8289473684210527,21.9851,3.457,0.455,,,,,
,,10.0,290,,,,,,,,,2896.1579,0.777,0.1,233111131200000.0,0.1340926980150157
