loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0655,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.42410606145858765,0.7385677308024159,0.7106060606060606,0.780241935483871,25.3139,3.99,0.514,,,,,
0.0344,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.46381962299346924,0.693939393939394,0.6613300492610837,0.7641129032258065,25.6928,3.931,0.506,,,,,
0.0306,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.44309201836586,0.7385677308024159,0.7106060606060606,0.780241935483871,25.8257,3.911,0.503,,,,,
0.0263,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.46451520919799805,0.7225274725274725,0.6914794007490637,0.7748655913978495,25.0634,4.03,0.519,,,,,
0.0224,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.4842366576194763,0.693939393939394,0.6613300492610837,0.7641129032258065,26.2932,3.841,0.494,,,,,
0.0184,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.46643006801605225,0.7225274725274725,0.6914794007490637,0.7748655913978495,30.3146,3.332,0.429,,,,,
0.0159,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.5026323199272156,0.7077084977637464,0.6752622377622378,0.769489247311828,25.3329,3.987,0.513,,,,,
0.013,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.4762856364250183,0.7560386473429952,0.7335164835164836,0.7856182795698925,25.1812,4.011,0.516,,,,,
0.0112,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.6108816862106323,0.693939393939394,0.6613300492610837,0.7641129032258065,25.1484,4.016,0.517,,,,,
0.0094,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.5661104321479797,0.7479500891265598,0.7644376899696048,0.7338709677419355,25.106,4.023,0.518,,,,,
0.1155,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.7581236958503723,0.6690074906367042,0.6386029411764707,0.7533602150537635,26.3411,3.834,0.494,,,,,
0.0088,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.5143690705299377,0.728494623655914,0.728494623655914,0.728494623655914,26.5499,3.804,0.49,,,,,
0.0061,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.9830003976821899,0.6175004983057605,0.600297619047619,0.726478494623656,27.4969,3.673,0.473,,,,,
0.0049,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.5368149280548096,0.7963709677419355,0.7963709677419355,0.7963709677419355,29.3959,3.436,0.442,,,,,
0.0041,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.620425283908844,0.7385677308024159,0.7106060606060606,0.780241935483871,37.4837,2.695,0.347,,,,,
,,15.0,150,,,,,,,,5588.2607,0.805,0.027,466219604736000.0,0.025765085915724437
