loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5729,4.5e-05,1.0,42,,,,,,,,,,,,,
,,1.0,42,0.9642744660377502,0.622474066079031,0.8838383838383838,0.5864197530864198,0.6973684210526315,18.9561,4.009,0.528,,,,,
0.2113,4e-05,2.0,84,,,,,,,,,,,,,
,,2.0,84,0.7451154589653015,0.800354609929078,0.880485527544351,0.7545219638242894,0.8157894736842105,18.6775,4.069,0.535,,,,,
0.0846,3.5e-05,3.0,126,,,,,,,,,,,,,
,,3.0,126,0.7688680291175842,0.7661256762380358,0.8679549114331723,0.7204995693367787,0.8157894736842105,18.7698,4.049,0.533,,,,,
0.0725,3e-05,4.0,168,,,,,,,,,,,,,
,,4.0,168,1.1247867345809937,0.7381708238851096,0.8781144781144782,0.6820269882285386,0.7894736842105263,18.6475,4.076,0.536,,,,,
0.0584,2.5e-05,5.0,210,,,,,,,,,,,,,
,,5.0,210,1.0547642707824707,0.7449735449735448,0.8841750841750842,0.6897789262130347,0.8026315789473685,18.506,4.107,0.54,,,,,
0.0171,2e-05,6.0,252,,,,,,,,,,,,,
,,6.0,252,1.0294777154922485,0.7508081246683069,0.8674985145573381,0.6989664082687339,0.8026315789473685,18.6117,4.083,0.537,,,,,
0.0023,1.5e-05,7.0,294,,,,,,,,,,,,,
,,7.0,294,1.0826752185821533,0.7508081246683069,0.8674985145573381,0.6989664082687339,0.8026315789473685,18.5114,4.106,0.54,,,,,
0.0019,1e-05,8.0,336,,,,,,,,,,,,,
,,8.0,336,1.1318624019622803,0.7508081246683069,0.8674985145573381,0.6989664082687339,0.8026315789473685,18.5471,4.098,0.539,,,,,
0.0022,5e-06,9.0,378,,,,,,,,,,,,,
,,9.0,378,1.1654901504516602,0.7508081246683069,0.8674985145573381,0.6989664082687339,0.8026315789473685,18.5255,4.102,0.54,,,,,
0.0016,0.0,10.0,420,,,,,,,,,,,,,
,,10.0,420,1.1752389669418335,0.7508081246683069,0.8674985145573381,0.6989664082687339,0.8026315789473685,18.6575,4.073,0.536,,,,,
,,10.0,420,,,,,,,,,3129.5651,1.074,0.134,348112622592000.0,0.10247192781950747
