loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1069,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.9022430777549744,0.4951328597737437,0.49868881118881114,0.49798387096774194,30.1321,3.352,0.431,,,,,
0.9608,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.890076756477356,0.4951328597737437,0.49868881118881114,0.49798387096774194,26.2992,3.84,0.494,,,,,
0.9354,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.6508682370185852,0.5663276836158193,0.5584733893557423,0.612231182795699,25.4971,3.961,0.51,,,,,
0.6833,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.5102836489677429,0.4793814432989691,0.4603960396039604,0.5,25.8927,3.901,0.502,,,,,
0.6349,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.5041103363037109,0.4793814432989691,0.4603960396039604,0.5,25.1678,4.013,0.517,,,,,
0.5631,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.4557896554470062,0.4793814432989691,0.4603960396039604,0.5,25.3129,3.99,0.514,,,,,
0.4788,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.4337572157382965,0.6456140350877193,0.7190721649484536,0.614247311827957,25.8551,3.906,0.503,,,,,
0.3758,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.4826749265193939,0.583467814237045,0.5802631578947368,0.7049731182795699,29.1422,3.466,0.446,,,,,
0.3194,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.629938006401062,0.5214604236343366,0.5630743525480367,0.7029569892473118,25.5925,3.946,0.508,,,,,
0.3314,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.38223323225975037,0.7225274725274725,0.6914794007490637,0.7748655913978495,26.5526,3.804,0.49,,,,,
0.2725,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.4436069428920746,0.6810784551858149,0.6492248062015504,0.758736559139785,25.2303,4.003,0.515,,,,,
0.1423,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.6083917021751404,0.5756302521008403,0.5761538461538461,0.6995967741935484,25.4938,3.962,0.51,,,,,
0.0875,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.565121591091156,0.63003663003663,0.66875,0.6088709677419355,25.5047,3.96,0.51,,,,,
0.4205,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.44385460019111633,0.6810784551858149,0.6492248062015504,0.758736559139785,25.1065,4.023,0.518,,,,,
0.056,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.4160471558570862,0.7385677308024159,0.7106060606060606,0.780241935483871,25.8997,3.9,0.502,,,,,
,,15.0,150,,,,,,,,5140.2454,0.875,0.029,466219604736000.0,0.4912384589513143
