loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.001,2e-05,1.0,29,,,,,,,,,,,,,
,,1.0,29,1.202486276626587,0.693615610495406,0.7650226757369615,0.6635084697100201,0.8157894736842105,19.9647,3.807,0.501,,,,,
0.0009,1.5e-05,2.0,58,,,,,,,,,,,,,
,,2.0,58,1.2625255584716797,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,23.2497,3.269,0.43,,,,,
0.0006,1e-05,3.0,87,,,,,,,,,,,,,
,,3.0,87,1.3533324003219604,0.7525252525252525,0.8529100529100528,0.708153890324433,0.8026315789473685,20.2583,3.752,0.494,,,,,
0.0005,5e-06,4.0,116,,,,,,,,,,,,,
,,4.0,116,1.3221642971038818,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,22.4707,3.382,0.445,,,,,
0.0005,0.0,5.0,145,,,,,,,,,,,,,
,,5.0,145,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,20.3514,3.734,0.491,,,,,
0.0005,0.0,6.0,174,,,,,,,,,,,,,
,,6.0,174,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,20.5951,3.69,0.486,,,,,
0.0005,0.0,7.0,203,,,,,,,,,,,,,
,,7.0,203,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,21.4413,3.545,0.466,,,,,
0.0005,0.0,8.0,232,,,,,,,,,,,,,
,,8.0,232,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,20.8597,3.643,0.479,,,,,
0.0005,0.0,9.0,261,,,,,,,,,,,,,
,,9.0,261,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,19.9214,3.815,0.502,,,,,
0.0005,0.0,10.0,290,,,,,,,,,,,,,
,,10.0,290,1.324350118637085,0.7700908455625437,0.8734315330060012,0.7236577662934253,0.8289473684210527,19.6513,3.867,0.509,,,,,
,,10.0,290,,,,,,,,,4474.3565,0.503,0.065,480463410240000.0,0.0006039278774425901
